gene	cell_type	n_ad_with_reads	n_ct_with_reads	n_ad_total	n_ct_total	jackknife_max_change_ratio	jackknife_worst_donor	direction_consistency	dominant_isoform	verdict	note
ENOX2	Excitatory_neuron	8	5	13	8	0.6723	SMC049	0.375	ENOX2-203	FAIL	Jackknife 0.67 ≥ 0.5; Direction 0.38 < 0.6
ENPP5	Excitatory_neuron	11	7	13	8	0.6256	SMC049	0.7273	ENPP5-201	FAIL	Jackknife 0.63 ≥ 0.5
ENSG00000176593	Excitatory_neuron	9	7	13	8	0.1949	PO11	0.5556	ENST00000550135	FAIL	Direction 0.56 < 0.6
ENSG00000233928	Excitatory_neuron	10	4	13	8	0.0528	SMC049	1.0	ENST00000662177	PASS	
ENSG00000253853	Excitatory_neuron	8	7	13	8	0.2761	PO28	0.625	ENST00000654515	PASS	
ENSG00000254746	Excitatory_neuron	3	5	13	8					INSUFFICIENT_DATA	reads 있는 도너 부족: AD=3/5, CT=5/4
ENSG00000263571	Excitatory_neuron	10	6	13	8	0.1284	SMC049	1.0	ENST00000667899	PASS	
ENSG00000264112	Excitatory_neuron	12	7	13	8	1.1853	PO41	0.4167	ENST00000577267	FAIL	Jackknife 1.19 ≥ 0.5; Direction 0.42 < 0.6
ENSG00000266718	Excitatory_neuron	9	8	13	8	0.3062	SMC049	0.3333	ENST00000650181	FAIL	Direction 0.33 < 0.6
ENSG00000271254	Excitatory_neuron	10	7	13	8	0.1249	SMC041	0.9	ENST00000614336	PASS	
ENSG00000277701	Excitatory_neuron	9	6	13	8	0.1919	PO11	0.8889	ENST00000656264	PASS	
ENSG00000279277	Excitatory_neuron	11	8	13	8	0.1505	SMC049	0.8182	ENST00000652445	PASS	
ENSG00000286961	Excitatory_neuron	7	4	13	8	0.2006	PO28	0.5714	ENST00000665075	FAIL	Direction 0.57 < 0.6
ENSG00000287811	Excitatory_neuron	11	7	13	8	0.9992	SMC049	0.2727	ENST00000691944	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.27 < 0.6
ENSG00000289731	Excitatory_neuron	11	8	13	8	0.3467	PO41	0.7273	ENST00000697505	PASS	
ENSG00000290015	Excitatory_neuron	9	4	13	8	0.0		1.0	ENST00000702485	PASS	
ENSG00000290453	Excitatory_neuron	12	8	13	8	0.4544	SMC039	0.3333	ENST00000532854	FAIL	Direction 0.33 < 0.6
ENSG00000290927	Excitatory_neuron	12	8	13	8	1.1672	SMC049	0.4167	ENST00000254109	FAIL	Jackknife 1.17 ≥ 0.5; Direction 0.42 < 0.6
ENSG00000291006	Excitatory_neuron	8	6	13	8	0.3176	SMC049	0.5	ENST00000602367	FAIL	Direction 0.50 < 0.6
ENSG00000291055	Excitatory_neuron	5	5	13	8	0.2626	SMC049	1.0	transcript7585.chr5.nnic	PASS	
ENSG00000291060	Excitatory_neuron	12	7	13	8	0.5542	SMC041	0.8333	ENST00000431681	FAIL	Jackknife 0.55 ≥ 0.5
ENSG00000291065	Excitatory_neuron	8	5	13	8	0.4018	SMC038	0.5	ENST00000609841	FAIL	Direction 0.50 < 0.6
ENSG00000291066	Excitatory_neuron	6	7	13	8	0.5217	SMC049	0.8333	ENST00000688619	FAIL	Jackknife 0.52 ≥ 0.5
ENSG00000291073	Excitatory_neuron	12	8	13	8	0.1677	PO05	0.8333	ENST00000522841	PASS	
ENSG00000291117	Excitatory_neuron	9	4	13	8	0.2772	PO11	0.4444	ENST00000692349	FAIL	Direction 0.44 < 0.6
ENSG00000291133	Excitatory_neuron	11	7	13	8	0.6936	SMC049	0.6364	ENST00000687539	FAIL	Jackknife 0.69 ≥ 0.5
ENSG00000291142	Excitatory_neuron	13	8	13	8	1.0415	PO28	0.3077	transcript153168.chr2.nnic	FAIL	Jackknife 1.04 ≥ 0.5; Direction 0.31 < 0.6
ENSG00000291159	Excitatory_neuron	7	8	13	8	0.3427	SMC049	0.7143	ENST00000348993	PASS	
ENSG00000291178	Excitatory_neuron	10	7	13	8	0.0667	SMC049	0.8	ENST00000675162	PASS	
ENTPD3	Excitatory_neuron	5	5	13	8	0.0		1.0	ENTPD3-205	PASS	
ENTPD4	Excitatory_neuron	12	8	13	8	0.7403	SMC049	0.4167	ENTPD4-202	FAIL	Jackknife 0.74 ≥ 0.5; Direction 0.42 < 0.6
ENTPD6	Excitatory_neuron	11	7	13	8	0.1848	SMC049	0.3636	ENTPD6-202	FAIL	Direction 0.36 < 0.6
ENY2	Excitatory_neuron	10	7	13	8	0.1054	PO05	0.8	ENY2-211	PASS	
EP400	Excitatory_neuron	12	7	13	8	0.5337	SMC039	0.5833	EP400-204	FAIL	Jackknife 0.53 ≥ 0.5; Direction 0.58 < 0.6
EPB41	Excitatory_neuron	11	7	13	8	0.2938	SMC049	0.6364	EPB41-221	PASS	
EPB41L2	Excitatory_neuron	13	7	13	8	0.6911	PO28	0.3846	EPB41L2-232	FAIL	Jackknife 0.69 ≥ 0.5; Direction 0.38 < 0.6
EPB41L3	Excitatory_neuron	12	8	13	8	0.1755	SMC038	0.8333	EPB41L3-206	PASS	
EPB41L4A-AS1	Excitatory_neuron	13	8	13	8	0.5515	SMC049	0.4615	EPB41L4A-AS1-205	FAIL	Jackknife 0.55 ≥ 0.5; Direction 0.46 < 0.6
EPC1	Excitatory_neuron	9	8	13	8	0.2146	SMC049	0.5556	EPC1-202	FAIL	Direction 0.56 < 0.6
EPDR1	Excitatory_neuron	10	7	13	8	0.1861	SMC049	1.0	EPDR1-201	PASS	
EPG5	Excitatory_neuron	12	8	13	8	0.151	SMC049	0.9167	EPG5-213	PASS	
EPHA3	Excitatory_neuron	9	7	13	8	0.1758	PO41	0.6667	transcript144875.chr3.nnic	PASS	
EPHA4	Excitatory_neuron	11	8	13	8	0.8352	SMC038	0.4545	EPHA4-201	FAIL	Jackknife 0.84 ≥ 0.5; Direction 0.45 < 0.6
EPHA5	Excitatory_neuron	8	7	13	8	0.1433	SMC049	0.75	EPHA5-206	PASS	
EPHA7	Excitatory_neuron	12	8	13	8	0.3965	SMC049	0.4167	EPHA7-215	FAIL	Direction 0.42 < 0.6
EPHB1	Excitatory_neuron	9	5	13	8	0.0899	PO41	1.0	transcript235191.chr3.nnic	PASS	
EPHB2	Excitatory_neuron	7	7	13	8	1.171	SMC038	0.2857	EPHB2-202	FAIL	Jackknife 1.17 ≥ 0.5; Direction 0.29 < 0.6
EPHB6	Excitatory_neuron	10	7	13	8	1.1002	SMC038	0.4	EPHB6-209	FAIL	Jackknife 1.10 ≥ 0.5; Direction 0.40 < 0.6
EPIC1	Excitatory_neuron	8	7	13	8	0.5253	SMC038	0.625	EPIC1-230	FAIL	Jackknife 0.53 ≥ 0.5
EPM2A	Excitatory_neuron	10	5	13	8	0.097	PO28	0.8	EPM2A-214	PASS	
EPM2A-DT	Excitatory_neuron	9	6	13	8	0.025	SMC032	0.8889	EPM2A-DT-201	PASS	
EPRS1	Excitatory_neuron	13	8	13	8	0.3606	SMC038	0.4615	EPRS1-201	FAIL	Direction 0.46 < 0.6
ERC1	Excitatory_neuron	12	8	13	8	0.3932	PO05	0.8333	ERC1-201	PASS	
ERC2	Excitatory_neuron	13	8	13	8	0.3103	PO28	0.4615	ERC2-213	FAIL	Direction 0.46 < 0.6
ERCC2	Excitatory_neuron	6	6	13	8	0.2407	SMC049	1.0	ERCC2-204	PASS	
ERCC3	Excitatory_neuron	11	8	13	8	0.8072	SMC049	0.4545	ERCC3-201	FAIL	Jackknife 0.81 ≥ 0.5; Direction 0.45 < 0.6
ERCC4	Excitatory_neuron	11	7	13	8	0.5781	SMC041	0.5455	ERCC4-215	FAIL	Jackknife 0.58 ≥ 0.5; Direction 0.55 < 0.6
ERCC5	Excitatory_neuron	13	7	13	8	0.3135	SMC049	0.4615	ERCC5-212	FAIL	Direction 0.46 < 0.6
ERCC6	Excitatory_neuron	11	8	13	8	0.4246	SMC038	0.5455	ERCC6-201	FAIL	Direction 0.55 < 0.6
ERCC6L2	Excitatory_neuron	13	8	13	8	0.2039	PO28	0.9231	ERCC6L2-215	PASS	
ERCC8	Excitatory_neuron	10	5	13	8	0.1222	SMC032	0.8	ERCC8-232	PASS	
ERGIC1	Excitatory_neuron	11	6	13	8	0.3054	SMC041	0.7273	transcript232532.chr5.nnic	PASS	
ERGIC3	Excitatory_neuron	9	6	13	8	0.199	SMC038	0.7778	ERGIC3-201	PASS	
ERICH1	Excitatory_neuron	11	7	13	8	0.308	PO41	0.8182	ERICH1-207	PASS	
ERLEC1	Excitatory_neuron	9	6	13	8	0.3077	SMC049	0.8889	ERLEC1-202	PASS	
ERMARD	Excitatory_neuron	9	5	13	8	0.0274	SMC049	1.0	transcript232557.chr6.nic	PASS	
ERO1B	Excitatory_neuron	8	7	13	8	0.0208	PO28	1.0	ERO1B-208	PASS	
ERP29	Excitatory_neuron	10	6	13	8	0.0469	SMC036	0.5	ERP29-202	FAIL	Direction 0.50 < 0.6
ERP44	Excitatory_neuron	12	8	13	8	0.3723	SMC038	0.75	ERP44-209	PASS	
ERVK13-1	Excitatory_neuron	11	8	13	8	2.1922	SMC049	0.6364	ERVK13-1-208	FAIL	Jackknife 2.19 ≥ 0.5
ESRRG	Excitatory_neuron	7	5	13	8	0.4087	PO28	0.5714	transcript315466.chr1.nic	FAIL	Direction 0.57 < 0.6
ESYT1	Excitatory_neuron	8	8	13	8	0.2235	SMC038	0.75	ESYT1-201	PASS	
ESYT2	Excitatory_neuron	6	6	13	8	1.0	PO11	0.1667	ESYT2-201	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.17 < 0.6
ETAA1	Excitatory_neuron	8	6	13	8	0.219	PO28	0.875	ETAA1-203	PASS	
ETV1	Excitatory_neuron	4	6	13	8					INSUFFICIENT_DATA	reads 있는 도너 부족: AD=4/5, CT=6/4
EVI5	Excitatory_neuron	11	8	13	8	0.0		1.0	EVI5-207	PASS	
EVL	Excitatory_neuron	12	8	13	8	0.7833	SMC041	0.5833	EVL-203	FAIL	Jackknife 0.78 ≥ 0.5; Direction 0.58 < 0.6
EWSR1	Excitatory_neuron	11	8	13	8	0.148	SMC049	0.6364	EWSR1-217	PASS	
EXD2	Excitatory_neuron	8	6	13	8	0.08	SMC049	1.0	EXD2-214	PASS	
EXOC1	Excitatory_neuron	11	7	13	8	0.2119	SMC049	0.6364	EXOC1-203	PASS	
EXOC3	Excitatory_neuron	10	7	13	8	0.381	SMC038	0.3	EXOC3-209	FAIL	Direction 0.30 < 0.6
EXOC4	Excitatory_neuron	13	8	13	8	0.4711	SMC049	0.5385	EXOC4-201	FAIL	Direction 0.54 < 0.6
EXOC5	Excitatory_neuron	11	7	13	8	0.874	SMC049	0.7273	EXOC5-211	FAIL	Jackknife 0.87 ≥ 0.5
EXOC6B	Excitatory_neuron	12	8	13	8	0.2346	SMC038	0.5833	EXOC6B-202	FAIL	Direction 0.58 < 0.6
EXOC7	Excitatory_neuron	13	8	13	8	1.0533	SMC049	0.3077	EXOC7-204	FAIL	Jackknife 1.05 ≥ 0.5; Direction 0.31 < 0.6
EXOSC2	Excitatory_neuron	9	7	13	8	0.4852	PO41	0.4444	EXOSC2-217	FAIL	Direction 0.44 < 0.6
EXOSC5	Excitatory_neuron	10	8	13	8	0.5543	PO28	0.7	EXOSC5-202	FAIL	Jackknife 0.55 ≥ 0.5
EXOSC9	Excitatory_neuron	7	6	13	8	0.4698	SMC049	0.5714	EXOSC9-212	FAIL	Direction 0.57 < 0.6
EXPH5	Excitatory_neuron	4	5	13	8					INSUFFICIENT_DATA	reads 있는 도너 부족: AD=4/5, CT=5/4
EXT2	Excitatory_neuron	10	8	13	8	0.9291	SMC039	0.6	EXT2-214	FAIL	Jackknife 0.93 ≥ 0.5
EXTL3	Excitatory_neuron	8	6	13	8	0.4507	PO28	0.875	EXTL3-216	PASS	
EZH1	Excitatory_neuron	13	8	13	8	0.1848	SMC049	0.7692	EZH1-205	PASS	
FAAP100	Excitatory_neuron	10	6	13	8	0.4393	SMC049	0.9	FAAP100-201	PASS	
FADS3	Excitatory_neuron	12	8	13	8	0.8428	SMC049	0.4167	FADS3-201	FAIL	Jackknife 0.84 ≥ 0.5; Direction 0.42 < 0.6
FAHD1	Excitatory_neuron	11	8	13	8	0.5579	SMC049	0.1818	FAHD1-201	FAIL	Jackknife 0.56 ≥ 0.5; Direction 0.18 < 0.6
FAM107A	Excitatory_neuron	11	8	13	8	0.1142	SMC038	1.0	FAM107A-204	PASS	
FAM118B	Excitatory_neuron	10	7	13	8	0.1268	SMC049	0.8	FAM118B-201	PASS	
FAM120A	Excitatory_neuron	10	7	13	8	0.0875	PO42	0.9	FAM120A-202	PASS	
FAM120B	Excitatory_neuron	7	7	13	8	0.7913	PO28	0.7143	transcript233619.chr6.nic	FAIL	Jackknife 0.79 ≥ 0.5
FAM120C	Excitatory_neuron	8	6	13	8	1.1902	SMC049	0.375	transcript57594.chrX.nic	FAIL	Jackknife 1.19 ≥ 0.5; Direction 0.38 < 0.6
FAM124A	Excitatory_neuron	7	5	13	8	0.3968	SMC049	0.2857	FAM124A-202	FAIL	Direction 0.29 < 0.6
FAM131A	Excitatory_neuron	10	6	13	8	0.3799	SMC038	0.8	FAM131A-201	PASS	
FAM133B	Excitatory_neuron	10	8	13	8	0.9983	SMC049	0.4	transcript131043.chr7.nic	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.40 < 0.6
FAM135A	Excitatory_neuron	11	8	13	8	0.0853	PO28	0.8182	FAM135A-205	PASS	
FAM13C	Excitatory_neuron	12	8	13	8	0.2842	SMC039	0.5833	FAM13C-217	FAIL	Direction 0.58 < 0.6
FAM149A	Excitatory_neuron	8	8	13	8	0.3236	PO28	0.75	transcript219658.chr4.nic	PASS	
FAM153A	Excitatory_neuron	11	7	13	8	0.1902	PO05	1.0	FAM153A-224	PASS	
FAM153CP	Excitatory_neuron	12	8	13	8	0.1256	PO05	0.9167	FAM153CP-235	PASS	
FAM156A	Excitatory_neuron	10	8	13	8	8.4044	SMC038	0.4	FAM156A-201	FAIL	Jackknife 8.40 ≥ 0.5; Direction 0.40 < 0.6
FAM161A	Excitatory_neuron	13	8	13	8	0.3461	SMC049	0.9231	FAM161A-203	PASS	
FAM162A	Excitatory_neuron	9	7	13	8	0.1298	SMC049	1.0	FAM162A-209	PASS	
FAM172A	Excitatory_neuron	11	7	13	8	1.6557	SMC032	0.3636	FAM172A-201	FAIL	Jackknife 1.66 ≥ 0.5; Direction 0.36 < 0.6
FAM184A	Excitatory_neuron	12	7	13	8	0.5039	PO28	0.6667	FAM184A-201	FAIL	Jackknife 0.50 ≥ 0.5
FAM185A	Excitatory_neuron	10	7	13	8	1.101	SMC032	0.1	transcript151977.chr7.nnic	FAIL	Jackknife 1.10 ≥ 0.5; Direction 0.10 < 0.6
FAM193A	Excitatory_neuron	11	7	13	8	0.3582	PO42	0.7273	FAM193A-208	PASS	
FAM20B	Excitatory_neuron	7	5	13	8	0.6847	PO41	0.4286	FAM20B-201	FAIL	Jackknife 0.68 ≥ 0.5; Direction 0.43 < 0.6
FAM210B	Excitatory_neuron	6	6	13	8	0.8902	SMC041	0.3333	FAM210B-201	FAIL	Jackknife 0.89 ≥ 0.5; Direction 0.33 < 0.6
FAM222B	Excitatory_neuron	9	6	13	8	0.4492	SMC038	0.7778	FAM222B-208	PASS	
FAM234A	Excitatory_neuron	9	7	13	8	0.4784	SMC038	0.7778	FAM234A-202	PASS	
FAM47E	Excitatory_neuron	9	5	13	8	0.6268	PO41	0.6667	FAM47E-202	FAIL	Jackknife 0.63 ≥ 0.5
FAM50A	Excitatory_neuron	7	4	13	8	0.389	SMC049	0.7143	transcript164112.chrX.nic	PASS	
FAM66C	Excitatory_neuron	9	6	13	8	0.1438	SMC049	0.6667	FAM66C-212	PASS	
FAM76A	Excitatory_neuron	10	7	13	8	0.4527	PO11	0.6	transcript50140.chr1.nic	PASS	
FAM91A1	Excitatory_neuron	8	6	13	8	0.1186	PO05	0.875	FAM91A1-207	PASS	
FAM98A	Excitatory_neuron	11	8	13	8	0.4538	SMC049	0.6364	FAM98A-204	PASS	
FAN1	Excitatory_neuron	11	8	13	8	0.306	SMC038	0.5455	FAN1-204	FAIL	Direction 0.55 < 0.6
FANCC	Excitatory_neuron	7	4	13	8	0.4297	SMC049	0.2857	FANCC-224	FAIL	Direction 0.29 < 0.6
FANCL	Excitatory_neuron	10	8	13	8	1.0938	PO28	0.1	FANCL-248	FAIL	Jackknife 1.09 ≥ 0.5; Direction 0.10 < 0.6
FANCM	Excitatory_neuron	12	7	13	8	0.4327	SMC029	0.5	FANCM-201	FAIL	Direction 0.50 < 0.6
FARP1	Excitatory_neuron	11	8	13	8	0.5093	SMC041	0.6364	FARP1-201	FAIL	Jackknife 0.51 ≥ 0.5
FARP2	Excitatory_neuron	10	5	13	8	0.0996	SMC049	0.9	FARP2-211	PASS	
FARS2	Excitatory_neuron	8	7	13	8	0.1125	SMC049	0.75	FARS2-201	PASS	
FARSA	Excitatory_neuron	8	7	13	8	1.2129	SMC049	0.75	FARSA-201	FAIL	Jackknife 1.21 ≥ 0.5
FAS	Excitatory_neuron	6	5	13	8	0.2839	PO28	0.8333	FAS-225	PASS	
FASTK	Excitatory_neuron	9	7	13	8	0.3062	SMC049	0.6667	transcript231642.chr7.nnic	PASS	
FASTKD1	Excitatory_neuron	11	8	13	8	0.315	PO28	0.8182	FASTKD1-205	PASS	
FASTKD2	Excitatory_neuron	12	8	13	8	0.7222	SMC049	0.4167	FASTKD2-201	FAIL	Jackknife 0.72 ≥ 0.5; Direction 0.42 < 0.6
FASTKD5	Excitatory_neuron	10	7	13	8	0.3373	SMC049	0.9	FASTKD5-202	PASS	
FAT1	Excitatory_neuron	11	7	13	8	0.0417	SMC049	0.9091	FAT1-201	PASS	
FBN1	Excitatory_neuron	11	8	13	8	0.1001	SMC049	0.9091	FBN1-205	PASS	
FBXL15	Excitatory_neuron	11	7	13	8	0.0442	PO11	0.6364	transcript186405.chr10.nic	PASS	
FBXL18	Excitatory_neuron	6	5	13	8	0.604	SMC049	0.6667	transcript9859.chr7.nic	FAIL	Jackknife 0.60 ≥ 0.5
FBXL20	Excitatory_neuron	7	6	13	8	0.2018	PO28	0.8571	FBXL20-201	PASS	
FBXL3	Excitatory_neuron	12	6	13	8	1.0615	SMC049	0.1667	FBXL3-201	FAIL	Jackknife 1.06 ≥ 0.5; Direction 0.17 < 0.6
FBXL5	Excitatory_neuron	11	8	13	8	0.3107	SMC049	0.3636	FBXL5-205	FAIL	Direction 0.36 < 0.6
FBXO11	Excitatory_neuron	10	7	13	8	0.6784	PO28	0.6	FBXO11-206	FAIL	Jackknife 0.68 ≥ 0.5
FBXO21	Excitatory_neuron	12	8	13	8	0.7668	SMC049	0.5833	FBXO21-207	FAIL	Jackknife 0.77 ≥ 0.5; Direction 0.58 < 0.6
FBXO25	Excitatory_neuron	9	6	13	8	0.1	SMC038	0.7778	transcript17.chr8.nnic	PASS	
FBXO34	Excitatory_neuron	9	7	13	8	0.5417	SMC049	0.2222	FBXO34-212	FAIL	Jackknife 0.54 ≥ 0.5; Direction 0.22 < 0.6
FBXO7	Excitatory_neuron	12	7	13	8	0.1573	SMC049	0.6667	FBXO7-202	PASS	
FBXW11	Excitatory_neuron	11	5	13	8	0.261	SMC049	0.7273	FBXW11-203	PASS	
FBXW5	Excitatory_neuron	12	8	13	8	2.4377	SMC049	0.3333	FBXW5-206	FAIL	Jackknife 2.44 ≥ 0.5; Direction 0.33 < 0.6
FCHO2	Excitatory_neuron	10	8	13	8	0.798	SMC049	0.2	FCHO2-202	FAIL	Jackknife 0.80 ≥ 0.5; Direction 0.20 < 0.6
FDFT1	Excitatory_neuron	12	7	13	8	0.1837	SMC049	0.4167	FDFT1-209	FAIL	Direction 0.42 < 0.6
FDPS	Excitatory_neuron	10	6	13	8	1.2758	SMC049	0.3	FDPS-206	FAIL	Jackknife 1.28 ≥ 0.5; Direction 0.30 < 0.6
FDXR	Excitatory_neuron	9	4	13	8	0.0581	SMC049	1.0	FDXR-203	PASS	
FECH	Excitatory_neuron	6	7	13	8	1.0	SMC049	0.1667	FECH-212	FAIL	Jackknife 1.00 ≥ 0.5; Direction 0.17 < 0.6
FEZ1	Excitatory_neuron	12	8	13	8	0.4366	SMC049	0.75	FEZ1-201	PASS	
FEZ2	Excitatory_neuron	6	6	13	8	0.1573	PO42	0.8333	FEZ2-203	PASS	
FGD1	Excitatory_neuron	10	6	13	8	0.1684	SMC043	0.9	FGD1-201	PASS	
FGD4	Excitatory_neuron	10	8	13	8	0.2973	PO41	0.3	FGD4-216	FAIL	Direction 0.30 < 0.6
FGD5-AS1	Excitatory_neuron	9	7	13	8	0.2713	PO11	0.8889	FGD5-AS1-202	PASS	
FGF5	Excitatory_neuron	8	6	13	8	0.1564	PO41	0.625	FGF5-201	PASS	
FGFR1	Excitatory_neuron	9	5	13	8	0.935	PO41	0.2222	FGFR1-225	FAIL	Jackknife 0.94 ≥ 0.5; Direction 0.22 < 0.6
FHIP2B	Excitatory_neuron	11	7	13	8	0.2512	SMC049	0.3636	FHIP2B-201	FAIL	Direction 0.36 < 0.6
FHL1	Excitatory_neuron	11	8	13	8	0.4652	SMC049	0.3636	FHL1-234	FAIL	Direction 0.36 < 0.6
FHL2	Excitatory_neuron	8	7	13	8	0.0203	SMC038	1.0	transcript228266.chr2.nic	PASS	
FIBP	Excitatory_neuron	10	8	13	8	0.9026	SMC049	0.4	FIBP-206	FAIL	Jackknife 0.90 ≥ 0.5; Direction 0.40 < 0.6
FIG4	Excitatory_neuron	11	7	13	8	0.6879	SMC049	0.5455	FIG4-207	FAIL	Jackknife 0.69 ≥ 0.5; Direction 0.55 < 0.6
FIGNL1	Excitatory_neuron	9	6	13	8	0.158	SMC049	0.7778	FIGNL1-211	PASS	
FILIP1	Excitatory_neuron	9	6	13	8	0.0		1.0	FILIP1-204	PASS	
FIP1L1	Excitatory_neuron	12	7	13	8	0.3096	SMC049	0.8333	FIP1L1-215	PASS	
FKBP15	Excitatory_neuron	11	8	13	8	0.2646	SMC038	0.7273	FKBP15-202	PASS	
FKBP1A	Excitatory_neuron	9	7	13	8	0.2764	SMC032	0.3333	FKBP1A-204	FAIL	Direction 0.33 < 0.6
FLAD1	Excitatory_neuron	8	6	13	8	0.0574	SMC038	0.75	transcript239484.chr1.nic	PASS	
FLCN	Excitatory_neuron	10	8	13	8	0.4621	SMC041	0.6	FLCN-201	PASS	
FLII	Excitatory_neuron	11	7	13	8	1.268	SMC049	0.2727	FLII-221	FAIL	Jackknife 1.27 ≥ 0.5; Direction 0.27 < 0.6
FLNA	Excitatory_neuron	10	6	13	8	0.452	SMC038	0.8	FLNA-220	PASS	
FLNB	Excitatory_neuron	12	8	13	8	0.0967	SMC041	0.75	FLNB-222	PASS	
FLOT1	Excitatory_neuron	12	8	13	8	0.268	SMC049	0.4167	FLOT1-201	FAIL	Direction 0.42 < 0.6
FLOT2	Excitatory_neuron	10	5	13	8	2.3015	SMC041	0.6	FLOT2-202	FAIL	Jackknife 2.30 ≥ 0.5
FLRT2	Excitatory_neuron	7	6	13	8	0.1638	SMC049	0.7143	transcript98892.chr14.nnic	PASS	
FLYWCH1	Excitatory_neuron	11	8	13	8	0.7981	SMC049	0.5455	FLYWCH1-212	FAIL	Jackknife 0.80 ≥ 0.5; Direction 0.55 < 0.6
FMN1	Excitatory_neuron	11	7	13	8	0.7829	SMC041	0.1818	FMN1-211	FAIL	Jackknife 0.78 ≥ 0.5; Direction 0.18 < 0.6
FMNL2	Excitatory_neuron	11	7	13	8	0.1582	SMC041	0.7273	FMNL2-202	PASS	
FMR1	Excitatory_neuron	10	6	13	8	0.6162	SMC032	0.2	FMR1-201	FAIL	Jackknife 0.62 ≥ 0.5; Direction 0.20 < 0.6
FNBP1L	Excitatory_neuron	10	6	13	8	0.3042	PO28	0.7	FNBP1L-201	PASS	
FNBP4	Excitatory_neuron	12	8	13	8	0.5284	SMC038	0.3333	FNBP4-213	FAIL	Jackknife 0.53 ≥ 0.5; Direction 0.33 < 0.6
FNDC3A	Excitatory_neuron	13	7	13	8	0.1786	PO28	0.8462	FNDC3A-201	PASS	
FOCAD	Excitatory_neuron	10	8	13	8	0.2168	PO28	0.4	transcript32411.chr9.nnic	FAIL	Direction 0.40 < 0.6
FOXJ3	Excitatory_neuron	11	7	13	8	0.391	SMC049	0.8182	FOXJ3-201	PASS	
FOXK2	Excitatory_neuron	11	8	13	8	0.4204	SMC049	0.7273	FOXK2-212	PASS	
FOXN3	Excitatory_neuron	8	7	13	8	0.0		1.0	FOXN3-211	PASS	
FOXO3	Excitatory_neuron	7	5	13	8	0.0536	SMC049	0.8571	FOXO3-201	PASS	
FOXP1	Excitatory_neuron	11	8	13	8	0.0291	SMC049	0.9091	transcript119410.chr3.nic	PASS	
FOXP2	Excitatory_neuron	8	7	13	8	0.5226	SMC049	0.5	FOXP2-226	FAIL	Jackknife 0.52 ≥ 0.5; Direction 0.50 < 0.6
FOXRED1	Excitatory_neuron	11	7	13	8	0.7912	SMC049	1.0	FOXRED1-201	FAIL	Jackknife 0.79 ≥ 0.5
FPGT	Excitatory_neuron	8	6	13	8	0.0765	SMC049	1.0	transcript133590.chr1.nnic	PASS	
FRA10AC1	Excitatory_neuron	10	7	13	8	0.0		1.0	transcript168065.chr10.nnic	PASS	
FRMD4A	Excitatory_neuron	11	8	13	8	0.2359	SMC038	0.2727	FRMD4A-202	FAIL	Direction 0.27 < 0.6
FRMPD2	Excitatory_neuron	5	2	13	8					INSUFFICIENT_DATA	reads 있는 도너 부족: AD=5/5, CT=2/4
FRRS1L	Excitatory_neuron	11	6	13	8	0.1148	SMC049	0.8182	transcript182362.chr9.nnic	PASS	
FRS2	Excitatory_neuron	7	6	13	8	0.0		1.0	FRS2-206	PASS	
FRY	Excitatory_neuron	12	8	13	8	1.0234	PO28	0.3333	FRY-213	FAIL	Jackknife 1.02 ≥ 0.5; Direction 0.33 < 0.6
FRYL	Excitatory_neuron	10	8	13	8	0.1537	SMC049	0.9	FRYL-201	PASS	
FSBP	Excitatory_neuron	11	5	13	8	0.4798	SMC041	0.4545	FSBP-202	FAIL	Direction 0.45 < 0.6
FSD1	Excitatory_neuron	12	8	13	8	0.7315	SMC049	0.4167	FSD1-201	FAIL	Jackknife 0.73 ≥ 0.5; Direction 0.42 < 0.6
FSHR	Excitatory_neuron	7	4	13	8	0.0356	PO11	1.0	transcript59534.chr2.nnic	PASS	
FSTL1	Excitatory_neuron	7	6	13	8	0.3357	PO11	0.5714	FSTL1-201	FAIL	Direction 0.57 < 0.6
FSTL4	Excitatory_neuron	9	7	13	8	0.62	SMC049	0.6667	FSTL4-201	FAIL	Jackknife 0.62 ≥ 0.5
FTCDNL1	Excitatory_neuron	11	5	13	8	0.225	SMC038	0.6364	FTCDNL1-204	PASS	
FTH1	Excitatory_neuron	13	8	13	8	2.1759	SMC049	0.3077	FTH1-201	FAIL	Jackknife 2.18 ≥ 0.5; Direction 0.31 < 0.6
FTX	Excitatory_neuron	12	8	13	8	0.5304	PO05	0.25	FTX-260	FAIL	Jackknife 0.53 ≥ 0.5; Direction 0.25 < 0.6
FUBP1	Excitatory_neuron	10	7	13	8	0.0795	PO11	0.5	transcript142149.chr1.nic	FAIL	Direction 0.50 < 0.6
FUBP3	Excitatory_neuron	12	7	13	8	0.5177	PO05	0.25	FUBP3-201	FAIL	Jackknife 0.52 ≥ 0.5; Direction 0.25 < 0.6
FUCA1	Excitatory_neuron	9	6	13	8	0.1877	SMC049	0.5556	transcript45670.chr1.nnic	FAIL	Direction 0.56 < 0.6
FUS	Excitatory_neuron	13	8	13	8	0.715	SMC049	0.4615	FUS-206	FAIL	Jackknife 0.71 ≥ 0.5; Direction 0.46 < 0.6
