gene	go_name	score_top	score_bot	score_gap	score_ratio	dtu_top	frac_brain_top	brain_tpm_top	dtu_concordant	top_iso	bot_iso
DZIP1L	Neuron projection	0.9487	0.0694	0.8793	13.67	-0.0243	0.8262	0.747	False	ENST00000327532	ENST00000469243
ROBO2	MT-based movement	0.8624	0.0003	0.8621	2778.52	-0.0078	0.0004	0.005	False	ENST00000696630	ENST00000471893
RIF1	Neuron diff	0.7268	0.0049	0.7219	148.24	0.1322	0.5238	1.114	True	ENST00000428287	ENST00000453091
PTPRC	Neuron dev	0.6999	0.0164	0.6836	42.74	0.1698	0.3195	0.284	True	ENST00000367367	ENST00000442510
TBCCD1	Neuron projection	0.7222	0.2236	0.4985	3.23	0.3547	0.4088	0.101	True	ENST00000424280	ENST00000446782
CEP41	Axon guidance	0.618	0.0006	0.6174	1046.07	0.2355	0.5863	1.443	True	ENST00000676243	ENST00000676312
GABRD	Modulation of syn.trans	0.6911	0.0106	0.6805	65.21	0.1716	0.8495	27.19	True	ENST00000378585	ENST00000638771
SYNCRIP	Neuron projection	0.405	0.0694	0.3356	5.83	0.5156	1.0	4.131	True	ENST00000678878	ENST00000676630
GOLGB1	Neuron diff	0.7352	0.0005	0.7347	1581.81	0.1164	0.5117	1.584	True	ENST00000695110	ENST00000695008
STAG2	Synaptic transmission	0.9482	0.0079	0.9404	120.55	-0.0908	0.7778	0.028	False	ENST00000371144	ENST00000692982
TBCA	MT cytoskeleton org	0.7338	0.0043	0.7295	171.74	0.1197	0.307	0.653	True	ENST00000651106	ENST00000518338
PRR19	Neuron dev	0.5681	0.0223	0.5459	25.52	0.3033	0.7589	1.232	True	ENST00000341747	ENST00000598490
PLK5	MT cytoskeleton org	0.3753	0.0251	0.3503	14.97	0.4989	0.5387	0.351	True	ENST00000642079	ENST00000588430
TRIP12	Synapse assembly	0.8092	0.0006	0.8086	1330.7	0.0404	0.0408	0.549	False	ENST00000389044	ENST00000453485
EPB41L5	Synaptic transmission	0.4648	0.0025	0.4623	186.09	0.3864	0.5981	0.723	True	ENST00000452780	ENST00000443902
CDK5RAP2	MT-based movement	0.9203	0.001	0.9193	914.25	-0.0712	0.3649	0.545	False	ENST00000687279	ENST00000425647
LSM14A	Synapse assembly	0.7279	0.0604	0.6675	12.06	0.1806	0.8759	24.019	True	ENST00000544216	ENST00000540746
NAXE	Axon guidance	0.8401	0.0006	0.8395	1469.57	0.0084	0.0163	0.654	False	ENST00000680087	ENST00000681734
TRIP12	Neuron projection	0.816	0.0087	0.8073	93.96	0.0404	0.0408	0.549	False	ENST00000389044	ENST00000409677
ITCH	Neurotrans. transport	0.8529	0.0015	0.8514	578.31	-0.0038	0.0139	0.167	False	ENST00000660337	ENST00000665484
PACSIN1	Neuron dev	0.3388	0.0276	0.3112	12.27	0.5362	0.7738	47.379	True	ENST00000538621	ENST00000620693
PPIG	Modulation of syn.trans	0.8488	0.0014	0.8475	623.91	-0.0006	0.0085	0.217	False	ENST00000676508	ENST00000462903
ZNF385D	Neuron projection	0.3666	0.0379	0.3287	9.68	0.5172	0.9071	2.357	True	ENST00000706131	ENST00000494108
MAN1B1	Neurotrans. transport	0.6706	0.0007	0.6699	974.72	0.1759	0.2159	0.219	True	ENST00000682117	ENST00000682212
ZNF83	Autophagy	0.3623	0.0066	0.3557	54.67	0.488	0.9757	1.985	True	ENST00000597161	ENST00000301096
TRIP12	Neuron dev	0.8167	0.0135	0.8032	60.31	0.0404	0.0408	0.549	False	ENST00000389044	ENST00000453485
ANKS1B	Axon guidance	0.7861	0.0018	0.7842	430.86	0.0594	0.1186	8.479	False	ENST00000550693	ENST00000550778
GOLGB1	Axon guidance	0.7274	0.0004	0.7271	2000.53	0.1164	0.5117	1.584	True	ENST00000695110	ENST00000489400
HPS4	Autophagy	0.3462	0.0146	0.3316	23.76	0.5111	1.0	0.649	True	ENST00000699244	ENST00000422379
TMEM14C	Mitochondrion org	0.8935	0.0399	0.8536	22.42	-0.011	0.9645	37.001	False	ENST00000229563	ENST00000541412
ANKRD44	Synapse assembly	0.7105	0.0017	0.7088	415.07	0.1337	0.2866	0.244	True	ENST00000424317	ENST00000409919
TRIP12	Neuron diff	0.8177	0.0161	0.8016	50.89	0.0404	0.0408	0.549	False	ENST00000389044	ENST00000453485
UBL7	MT-based movement	0.9754	0.0003	0.9751	3413.14	-0.1336	0.0995	2.515	False	ENST00000395081	ENST00000361351
GET1	Neuron diff	0.7218	0.1098	0.612	6.57	0.2292	0.8926	1.228	True	ENST00000650376	ENST00000415847
ARHGAP39	Synaptic transmission	0.5814	0.069	0.5125	8.43	0.3283	0.4632	3.23	True	ENST00000276826	ENST00000377307
STAG2	Modulation of syn.trans	0.9396	0.0085	0.9311	110.04	-0.0908	0.7778	0.028	False	ENST00000371144	ENST00000692982
TIAM1	Synapse assembly	0.7669	0.0125	0.7544	61.45	0.0859	0.3728	8.45	False	ENST00000286827	ENST00000698169
PCNX1	Neuron dev	0.6144	0.097	0.5174	6.33	0.3223	0.9411	1.575	True	ENST00000439984	ENST00000554691
MYEF2	Neuron projection	0.6478	0.031	0.6168	20.91	0.2228	0.5394	16.518	True	ENST00000558395	ENST00000267836
TMEM130	Neuron diff	0.5619	0.0168	0.545	33.38	0.2944	0.5785	100.606	True	ENST00000339375	ENST00000416379
STAG2	Synapse assembly	0.9329	0.0036	0.9294	262.54	-0.0908	0.7778	0.028	False	ENST00000371144	ENST00000692982
BAIAP2	Mitochondrion org	0.8265	0.0035	0.8231	239.19	0.015	0.1121	5.341	False	ENST00000575712	ENST00000321300
SLC3A2	MT-based movement	0.7434	0.0001	0.7432	6288.87	0.0948	0.2714	1.585	False	ENST00000680729	ENST00000377889
GET1	Synaptic transmission	0.6984	0.0901	0.6083	7.75	0.2292	0.8926	1.228	True	ENST00000650376	ENST00000415847
DTNB	Ca2+ signaling	0.3731	0.0017	0.3714	224.55	0.466	0.466	5.881	True	ENST00000407038	ENST00000288642
GABRD	Synapse assembly	0.6757	0.0101	0.6656	66.73	0.1716	0.8495	27.19	True	ENST00000378585	ENST00000638771
SHISA6	MT cytoskeleton org	0.4635	0.0043	0.4592	108.47	0.3777	0.827	4.003	True	ENST00000432116	ENST00000343478
ARHGAP39	Synapse assembly	0.5209	0.0127	0.5083	41.15	0.3283	0.4632	3.23	True	ENST00000276826	ENST00000377307
TAF1A	Neuron dev	0.6712	0.0218	0.6495	30.85	0.1863	0.4223	1.771	True	ENST00000350027	ENST00000352967
MAGI1	Mitochondrion org	0.6452	0.0132	0.6321	49.03	0.2035	0.2425	0.713	True	ENST00000460329	ENST00000463103
LRRC37A2	Neuron diff	0.5342	0.1596	0.3745	3.35	0.4606	0.5338	0.05	True	ENST00000706058	ENST00000705813
SYNCRIP	Neuron dev	0.332	0.0135	0.3184	24.55	0.5156	1.0	4.131	True	ENST00000678878	ENST00000676630
PCED1B	Synaptic transmission	0.7759	0.0901	0.6858	8.61	0.1482	0.9144	1.597	True	ENST00000546455	ENST00000432328
ANKRD44	Neuron diff	0.7007	0.0005	0.7001	1311.17	0.1337	0.2866	0.244	True	ENST00000424317	ENST00000409919
ETFRF1	Neurotrans. transport	0.8432	0.0021	0.8411	394.47	-0.0074	0.0	0.0	False	ENST00000556402	ENST00000381356
CELF4	MT-based movement	0.6751	0.0024	0.6727	282.08	0.1604	0.1874	14.079	True	ENST00000603232	ENST00000587911
TRIP12	Neurotrans. transport	0.7948	0.0024	0.7924	334.98	0.0404	0.0408	0.549	False	ENST00000389044	ENST00000675423
ODF2L	Synaptic transmission	0.9611	0.0133	0.9478	72.05	-0.1152	0.2464	0.582	False	ENST00000294678	ENST00000370566
APC2	Synaptic transmission	0.7989	0.0008	0.7981	969.0	0.0342	0.1768	6.379	False	ENST00000590469	ENST00000535453
PRR19	Mitochondrion org	0.5794	0.0508	0.5286	11.4	0.3033	0.7589	1.232	True	ENST00000341747	ENST00000598490
ITGB1	Axon guidance	0.8555	0.0014	0.8541	600.15	-0.0227	0.0	0.0	False	ENST00000488427	ENST00000677999
ARHGEF7	Neuron projection	0.7336	0.0101	0.7236	72.98	0.1072	0.1096	3.379	True	ENST00000646102	ENST00000375741
GOLGB1	Neuron dev	0.7172	0.0029	0.7143	246.8	0.1164	0.5117	1.584	True	ENST00000695110	ENST00000695008
CAP1	Mitochondrion org	0.8397	0.0246	0.8151	34.16	0.0147	0.0201	0.211	False	ENST00000372802	ENST00000340450
METTL21A	Synaptic transmission	0.9459	0.0901	0.8558	10.5	-0.026	0.7913	5.954	False	ENST00000458426	ENST00000448007
GPM6B	Mitochondrion org	0.4214	0.0736	0.3478	5.73	0.4818	0.7287	101.054	True	ENST00000316715	ENST00000355135
FBXL13	Neuron projection	0.8715	0.1884	0.683	4.62	0.1464	0.3794	0.083	True	ENST00000694870	ENST00000440067
ITGB4	Proteasome-UPS	0.4991	0.0234	0.4756	21.31	0.3538	0.6734	2.218	True	ENST00000579662	ENST00000450894
CAMK2B	Neuron projection	0.7815	0.0091	0.7724	85.79	0.0562	0.0562	1.595	False	ENST00000700233	ENST00000350811
DZIP1L	Synaptic transmission	0.9425	0.0901	0.8524	10.46	-0.0243	0.8262	0.747	False	ENST00000327532	ENST00000469243
DOCK10	Neurotrans. transport	0.8033	0.0061	0.7972	131.15	0.0297	0.5826	9.838	False	ENST00000698072	ENST00000645028
MAP4	TOR signaling	0.5137	0.0464	0.4673	11.07	0.3595	0.3647	58.865	True	ENST00000439356	ENST00000335271
MACC1	Synapse assembly	0.6513	0.0156	0.6357	41.77	0.1908	0.626	0.286	True	ENST00000332878	ENST00000400331
FANCM	Mitochondrion org	0.3502	0.0013	0.349	276.8	0.4769	0.6344	0.265	True	ENST00000554030	ENST00000696682
DOCK10	Axon guidance	0.8422	0.0462	0.796	18.23	0.0297	0.5826	9.838	False	ENST00000698072	ENST00000645028
CCDC136	MT cytoskeleton org	0.3743	0.0043	0.37	87.6	0.4556	0.7019	28.081	True	ENST00000464832	ENST00000487361
TSPOAP1	Autophagy	0.3173	0.0058	0.3115	54.29	0.5141	0.5977	25.843	True	ENST00000343736	ENST00000581675
TRIM2	Autophagy	0.7305	0.0018	0.7287	396.49	0.0966	0.0966	5.898	False	ENST00000674896	ENST00000675159
PAPLN	Neuron projection	0.8057	0.021	0.7847	38.33	0.0397	0.3857	3.337	False	ENST00000644200	ENST00000340738
DNM1	Proteasome-UPS	0.6993	0.0032	0.6961	218.77	0.1269	0.1269	26.926	True	ENST00000393594	ENST00000372923
MTX1	Axon guidance	0.8384	0.0512	0.7872	16.39	0.035	0.0582	0.83	False	ENST00000316721	ENST00000609421
GCC2	Neuron projection	0.88	0.0101	0.8699	87.46	-0.0478	0.0016	0.004	False	ENST00000492785	ENST00000409821
PRCP	MT-based movement	0.8372	0.0105	0.8267	79.85	-0.0075	0.9925	23.444	False	ENST00000393399	ENST00000680040
GPHN	Mitochondrion org	0.3812	0.0296	0.3516	12.88	0.4659	0.7635	6.438	True	ENST00000543237	ENST00000459628
LRRC37A2	Neuron dev	0.491	0.1344	0.3566	3.65	0.4606	0.5338	0.05	True	ENST00000706058	ENST00000705813
NAXE	Neuron dev	0.8263	0.0187	0.8076	44.29	0.0084	0.0163	0.654	False	ENST00000680087	ENST00000681734
LIG4	Neuron dev	0.817	0.0034	0.8136	240.26	0.0023	0.0186	0.181	False	ENST00000685338	ENST00000686926
CFAP36	Synaptic transmission	0.6752	0.0307	0.6445	22.0	0.1712	0.4276	5.978	True	ENST00000403007	ENST00000406691
GAA	MT cytoskeleton org	0.8088	0.0145	0.7943	55.79	0.0212	0.0384	1.005	False	ENST00000302262	ENST00000570803
MIS18BP1	Modulation of syn.trans	0.8024	0.006	0.7963	132.89	0.0191	1.0	0.352	False	ENST00000451174	ENST00000627697
SCN3A	Synaptic transmission	0.9319	0.0023	0.9297	409.89	-0.1159	0.3834	2.399	False	ENST00000453007	ENST00000668657
COCH	Synaptic transmission	0.9337	0.0901	0.8436	10.36	-0.0301	0.0	0.0	False	ENST00000475087	ENST00000643575
COL11A1	Neuron dev	0.3399	0.0231	0.3168	14.69	0.4964	0.5323	0.382	True	ENST00000644186	ENST00000461720
MGAT4C	Neuron diff	0.5069	0.0908	0.4161	5.58	0.3968	0.6177	1.452	True	ENST00000611864	ENST00000547225
SPOCK2	MT cytoskeleton org	0.4709	0.0043	0.4666	110.19	0.3457	0.9778	24.124	True	ENST00000317376	ENST00000412663
KLF7	MT-based movement	0.7243	0.0018	0.7225	402.93	0.0897	0.667	0.409	False	ENST00000458272	ENST00000703689
ADAR	Neuron dev	0.5929	0.0095	0.5834	62.38	0.2282	0.5201	12.404	True	ENST00000649042	ENST00000529168
FAM107A	Neuron diff	0.423	0.0074	0.4156	57.15	0.3952	0.502	4.144	True	ENST00000474531	ENST00000464064
CERS1	Synapse assembly	0.8255	0.0417	0.7838	19.8	0.0264	0.5618	56.838	False	ENST00000596048	ENST00000542296
METTL21A	Neuron projection	0.9051	0.0694	0.8357	13.04	-0.026	0.7913	5.954	False	ENST00000458426	ENST00000448007
TRIM8	MT-based movement	0.8353	0.0078	0.8275	106.74	-0.0183	0.0161	0.549	False	ENST00000302424	ENST00000643721
ZFYVE26	Synaptic transmission	0.8261	0.01	0.8161	82.31	-0.0071	0.7047	1.039	False	ENST00000557306	ENST00000555452
DNAJB5	Axon guidance	0.794	0.0084	0.7857	94.92	0.0227	0.1614	1.784	False	ENST00000453597	ENST00000545841
PCDH11Y	Inflammatory response	0.8656	0.0232	0.8423	37.28	-0.0346	0.0009	0.004	False	ENST00000698927	ENST00000698851
SLC8A3	Axon guidance	0.4178	0.0006	0.4172	677.56	0.3904	0.4949	6.17	True	ENST00000216568	ENST00000705391
TCF3	Neuron diff	0.705	0.0522	0.6527	13.49	0.1548	0.2723	5.383	True	ENST00000593064	ENST00000590684
CFAP36	Neuron diff	0.6531	0.0176	0.6355	37.03	0.1712	0.4276	5.978	True	ENST00000403007	ENST00000406691
PJVK	Neuron projection	0.6925	0.0787	0.6139	8.8	0.1925	1.0	0.424	True	ENST00000644580	ENST00000375129
C1orf112	Neuron dev	0.7303	0.0867	0.6437	8.43	0.1624	0.7031	0.514	True	ENST00000413811	ENST00000359326
H3-3A	Neurotrans. transport	0.8142	0.0194	0.7949	42.0	0.0109	0.097	0.286	False	ENST00000366816	ENST00000366814
TMEM130	Neuron dev	0.5208	0.0096	0.5112	53.99	0.2944	0.5785	100.606	True	ENST00000339375	ENST00000416379
ZFHX4	Neuron projection	0.6033	0.0691	0.5342	8.74	0.271	0.6781	0.257	True	ENST00000518282	ENST00000651020
CTSZ	MT-based movement	0.8058	0.0008	0.805	983.36	-0.0001	0.0736	0.107	False	ENST00000680386	ENST00000680879
EIF2AK2	Synapse assembly	0.4702	0.0156	0.4547	30.16	0.3502	0.4918	0.207	True	ENST00000681516	ENST00000395127
KCNA2	Neuron projection	0.7826	0.004	0.7786	193.28	0.026	0.0396	0.715	False	ENST00000675391	ENST00000485317
PSME1	Neuron dev	0.8197	0.0068	0.8129	120.82	-0.0087	0.0157	0.556	False	ENST00000561435	ENST00000206451
ATP6V0E2	Neurotrans. transport	0.6699	0.0039	0.666	173.3	0.1381	0.3468	0.461	True	ENST00000421974	ENST00000479613
IFI16	Synaptic transmission	0.6893	0.0312	0.6581	22.08	0.1459	0.6626	5.319	True	ENST00000566111	ENST00000368131
VRK1	Synaptic transmission	0.7888	0.0011	0.7877	692.85	0.0155	0.0362	0.148	False	ENST00000681419	ENST00000216639
ANKS1B	Neuron diff	0.772	0.0285	0.7435	27.11	0.0594	0.1186	8.479	False	ENST00000550693	ENST00000547446
STXBP5L	Modulation of syn.trans	0.665	0.0244	0.6406	27.29	0.1618	0.162	2.079	True	ENST00000273666	ENST00000472879
GALNT3	Inflammatory response	0.5777	0.0338	0.5438	17.07	0.2585	0.8582	0.7	True	ENST00000409882	ENST00000392701
KANSL1	Ca2+ homeostasis	0.3593	0.0071	0.3522	50.37	0.4482	0.9342	3.434	True	ENST00000639531	ENST00000574590
CCDC30	Neuron dev	0.7634	0.0135	0.7498	56.46	0.0494	0.0924	0.199	False	ENST00000664805	ENST00000654604
POT1	Axon guidance	0.8464	0.0057	0.8406	147.44	-0.0416	0.8956	4.87	False	ENST00000668382	ENST00000655761
DCAF11	Neuron dev	0.6864	0.0203	0.6661	33.78	0.1327	0.7673	16.669	True	ENST00000446197	ENST00000396936
MAGED4B	MT cytoskeleton org	0.7174	0.0069	0.7105	103.99	0.0883	0.652	21.824	False	ENST00000335504	ENST00000360134
ZEB2	Neuron projection	0.6075	0.0005	0.607	1333.93	0.1918	0.3502	20.304	True	ENST00000636026	ENST00000465308
VPS45	Neuron diff	0.5791	0.077	0.5022	7.52	0.2965	0.629	3.848	True	ENST00000643970	ENST00000698590
APBA2	Neuron projection	0.8102	0.0121	0.7981	66.95	0.0005	0.077	0.927	False	ENST00000561069	ENST00000558402
MAN1B1	Modulation of syn.trans	0.6241	0.0018	0.6223	337.73	0.1759	0.2159	0.219	True	ENST00000682117	ENST00000683324
C6orf136	MT-based movement	0.5401	0.0013	0.5388	427.76	0.2584	0.4274	0.69	True	ENST00000446773	ENST00000376473
ITGB1	Neuron diff	0.4094	0.0027	0.4068	153.79	0.3902	0.7816	1.656	True	ENST00000678766	ENST00000677999
DOCK11	Modulation of syn.trans	0.3666	0.002	0.3646	185.15	0.4322	0.7482	1.262	True	ENST00000632573	ENST00000276204
ADD2	Modulation of syn.trans	0.5913	0.0011	0.5902	520.03	0.206	0.8539	35.886	True	ENST00000264436	ENST00000355733
PMS1	Proteasome-UPS	0.5159	0.019	0.4968	27.11	0.2989	0.4842	0.423	True	ENST00000432292	ENST00000424766
FHIP2A	MT cytoskeleton org	0.53	0.0043	0.5258	124.04	0.2698	0.9648	0.76	True	ENST00000369246	ENST00000369250
MAGI1	Neuron dev	0.6132	0.0217	0.5916	28.29	0.2035	0.2425	0.713	True	ENST00000460329	ENST00000497477
KMT2C	Synapse assembly	0.6194	0.0035	0.6159	178.69	0.1791	0.4523	3.169	True	ENST00000418061	ENST00000683490
EMSY	Synaptic transmission	0.7227	0.0138	0.7089	52.43	0.0857	0.7659	1.33	False	ENST00000533988	ENST00000533248
RUNDC3A	Neuron projection	0.9949	0.1123	0.8826	8.86	-0.0887	0.1036	17.902	False	ENST00000426726	ENST00000590941
C1orf112	Neuron diff	0.7774	0.1459	0.6314	5.33	0.1624	0.7031	0.514	True	ENST00000413811	ENST00000359326
MEIS2	Synaptic transmission	0.7888	0.0063	0.7825	125.05	0.0112	0.3348	3.916	False	ENST00000340545	ENST00000699903
ACTG1	Mitochondrion org	0.8041	0.0143	0.7898	56.22	0.0038	0.9954	1098.326	False	ENST00000573283	ENST00000575842
CLSPN	Synaptic transmission	0.6065	0.005	0.6015	122.49	0.192	0.2343	0.198	True	ENST00000373220	ENST00000251195
IFI16	Ca2+ signaling	0.6532	0.0057	0.6475	114.11	0.1459	0.6626	5.319	True	ENST00000566111	ENST00000368131
CDH18	Neuron diff	0.4653	0.0712	0.3941	6.54	0.3989	0.6378	12.172	True	ENST00000382275	ENST00000506372
ADAR	Axon guidance	0.5647	0.0001	0.5646	4253.84	0.2282	0.5201	12.404	True	ENST00000649042	ENST00000529168
EPB41L5	Synapse assembly	0.4193	0.0136	0.4057	30.73	0.3864	0.5981	0.723	True	ENST00000452780	ENST00000443124
SLF2	MT cytoskeleton org	0.6343	0.0043	0.6301	148.45	0.1619	0.2572	0.9	True	ENST00000370271	ENST00000609386
SNX14	MT cytoskeleton org	0.3395	0.0002	0.3393	1709.95	0.4525	0.7778	3.05	True	ENST00000505648	ENST00000683479
CCT8	Neurotrans. transport	0.792	0.0007	0.7913	1133.11	0.0002	0.0083	0.886	False	ENST00000540844	ENST00000626972
EPHA7	Neuron diff	0.6522	0.0031	0.6491	211.08	0.1419	0.1536	1.003	True	ENST00000680953	ENST00000681532
ARPP21	Inflammatory response	0.8421	0.007	0.8351	120.78	-0.0442	0.2726	18.156	False	ENST00000428373	ENST00000450234
ERCC6L2	Proteasome-UPS	0.4276	0.019	0.4086	22.47	0.3823	0.544	1.009	True	ENST00000683991	ENST00000402838
SRCIN1	Neuron dev	0.483	0.1598	0.3232	3.02	0.4673	0.7936	4.283	True	ENST00000617146	ENST00000621492
NBEA	Synaptic transmission	0.7913	0.001	0.7903	798.44	0.0001	0.0037	0.054	False	ENST00000685686	ENST00000629018
FAM13C	Modulation of syn.trans	0.3788	0.0031	0.3756	120.94	0.4145	0.6117	13.61	True	ENST00000435852	ENST00000422313
SCFD1	Ca2+ homeostasis	0.3962	0.0284	0.3678	13.94	0.4223	1.0	0.0	True	ENST00000676509	ENST00000676520
MAN1B1	Synapse assembly	0.6164	0.0025	0.6139	248.67	0.1759	0.2159	0.219	True	ENST00000682117	ENST00000535144
DCAF11	MT cytoskeleton org	0.6611	0.0041	0.657	162.88	0.1327	0.7673	16.669	True	ENST00000446197	ENST00000559144
CERT1	Synapse assembly	0.7677	0.0152	0.7525	50.43	0.0368	0.7477	20.865	False	ENST00000380494	ENST00000646713
MYT1L	Synapse assembly	0.7905	0.0015	0.789	524.15	0.0	0.0	0.0	False	ENST00000647618	ENST00000649810
SLC25A26	Neuron projection	0.8243	0.0013	0.823	623.11	-0.0342	0.4924	6.487	False	ENST00000336733	ENST00000686511
CD46	Ca2+ signaling	0.6862	0.0144	0.6718	47.64	0.1154	0.6547	1.938	True	ENST00000360212	ENST00000695782
KLC1	TOR signaling	0.5243	0.0001	0.5242	6361.61	0.2624	0.5562	42.303	True	ENST00000553286	ENST00000553436
KANSL1	Neuron diff	0.396	0.0581	0.3379	6.82	0.4482	0.9342	3.434	True	ENST00000639531	ENST00000575318
CDC42BPA	Oxidative stress resp	0.6484	0.0045	0.644	145.2	0.1418	0.2821	1.057	True	ENST00000441725	ENST00000442054
VGLL4	Modulation of syn.trans	0.3407	0.001	0.3397	329.37	0.446	0.8532	2.857	True	ENST00000424529	ENST00000426568
STAG2	Neurotrans. transport	0.8872	0.0114	0.8759	78.12	-0.0908	0.7778	0.028	False	ENST00000371144	ENST00000692982
RIF1	Neuron projection	0.7264	0.0739	0.6525	9.83	0.1322	0.5238	1.114	True	ENST00000428287	ENST00000453091
TAF1A	Neuron diff	0.6101	0.0129	0.5973	47.4	0.1863	0.4223	1.771	True	ENST00000350027	ENST00000352967
MBP	Axon guidance	0.7675	0.0014	0.7661	537.05	0.0171	0.0395	84.814	False	ENST00000382582	ENST00000397866
CELF4	MT cytoskeleton org	0.4512	0.0311	0.4201	14.49	0.3612	0.4531	34.032	True	ENST00000420428	ENST00000587911
NAXE	Neuron diff	0.7966	0.0238	0.7728	33.42	0.0084	0.0163	0.654	False	ENST00000680087	ENST00000681734
PCNX1	Neuron diff	0.5493	0.0903	0.4589	6.08	0.3223	0.9411	1.575	True	ENST00000439984	ENST00000554691
STXBP5L	Neuron projection	0.6283	0.0091	0.6191	68.98	0.1618	0.162	2.079	True	ENST00000273666	ENST00000471454
IFI16	Modulation of syn.trans	0.6404	0.0059	0.6345	109.03	0.1459	0.6626	5.319	True	ENST00000566111	ENST00000368131
CTXN2	MT cytoskeleton org	0.3774	0.0021	0.3753	180.34	0.4043	0.5249	0.843	True	ENST00000644354	ENST00000417307
PTPRC	Neuron diff	0.6171	0.0077	0.6095	80.57	0.1698	0.3195	0.284	True	ENST00000367367	ENST00000442510
COPA	Synapse assembly	0.7204	0.078	0.6424	9.24	0.1368	0.7061	8.035	True	ENST00000647683	ENST00000648280
CDH18	Neuron dev	0.3937	0.0135	0.3802	29.12	0.3989	0.6378	12.172	True	ENST00000382275	ENST00000502796
KCNAB1	Neuron projection	0.8163	0.0333	0.783	24.55	-0.0043	0.0	0.0	False	ENST00000389636	ENST00000618897
FAM13C	Proteasome-UPS	0.4036	0.04	0.3636	10.09	0.4145	0.6117	13.61	True	ENST00000435852	ENST00000468696
IFI16	Ca2+ homeostasis	0.6516	0.0197	0.6319	33.0	0.1459	0.6626	5.319	True	ENST00000566111	ENST00000368131
FGFR3	Oxidative stress resp	0.6078	0.0412	0.5665	14.74	0.2108	0.9564	39.194	True	ENST00000440486	ENST00000412135
GDPD1	MT-based movement	0.8155	0.0682	0.7474	11.96	0.0295	0.2525	3.95	False	ENST00000581276	ENST00000284116
IFI16	Neurotrans. transport	0.6306	0.0013	0.6294	495.2	0.1459	0.6626	5.319	True	ENST00000566111	ENST00000368131
CCDC30	Neuron diff	0.7626	0.0367	0.7258	20.76	0.0494	0.0924	0.199	False	ENST00000664805	ENST00000655164
MEF2D	Synapse assembly	0.5117	0.0344	0.4773	14.88	0.2978	0.844	39.854	True	ENST00000348159	ENST00000360595
CDH18	MT-based movement	0.3751	0.0	0.375	11490.3	0.3989	0.6378	12.172	True	ENST00000382275	ENST00000274170
LETMD1	Mitochondrion org	0.343	0.0153	0.3277	22.4	0.4462	0.9461	3.073	True	ENST00000552739	ENST00000547008
RAPGEFL1	MT-based movement	0.9028	0.2034	0.6994	4.44	0.0744	0.2514	7.059	False	ENST00000620260	ENST00000264644
TCF3	Neuron dev	0.716	0.0971	0.6189	7.37	0.1548	0.2723	5.383	True	ENST00000593064	ENST00000592628
CEP41	Neuron diff	0.565	0.027	0.538	20.92	0.2355	0.5863	1.443	True	ENST00000676243	ENST00000675168
CCT8	Synapse assembly	0.7967	0.025	0.7717	31.9	0.0002	0.0083	0.886	False	ENST00000540844	ENST00000286788
ZNF827	Neuron projection	0.734	0.0169	0.7171	43.52	0.0541	0.7844	3.646	False	ENST00000503462	ENST00000511659
MAST4	Modulation of syn.trans	0.7958	0.003	0.7927	262.9	-0.0219	0.1407	0.202	False	ENST00000490016	ENST00000406374
GTF2H3	Synapse assembly	0.7468	0.0034	0.7434	219.84	0.0274	0.1461	0.709	False	ENST00000618160	ENST00000228955
TMEM196	TOR signaling	0.3669	0.0258	0.3411	14.21	0.4291	0.6631	4.386	True	ENST00000405844	ENST00000405764
CEP68	Neuron projection	0.7963	0.0171	0.7793	46.63	-0.0094	0.0	0.0	False	ENST00000704449	ENST00000703985
IFI16	Inflammatory response	0.6261	0.0027	0.6234	234.11	0.1459	0.6626	5.319	True	ENST00000566111	ENST00000368131
OST4	MT cytoskeleton org	0.7763	0.0019	0.7744	415.51	-0.0051	0.9868	194.449	False	ENST00000456793	ENST00000429985
BIN1	Mitochondrion org	0.3454	0.0158	0.3295	21.83	0.4396	0.936	58.536	True	ENST00000316724	ENST00000351659
ADCK1	Oxidative stress resp	0.6737	0.0153	0.6584	44.11	0.1102	0.4601	6.176	True	ENST00000557501	ENST00000341211
TRIQK	MT cytoskeleton org	0.7115	0.0043	0.7072	166.52	0.0611	0.1923	4.829	False	ENST00000524037	ENST00000521988
MGA	Neuron diff	0.7831	0.0107	0.7724	73.21	-0.0045	0.0	0.0	False	ENST00000703842	ENST00000703841
MAST4	Synapse assembly	0.7906	0.0011	0.7895	703.11	-0.0219	0.1407	0.202	False	ENST00000490016	ENST00000403666
GPSM2	MT-based movement	0.7341	0.0002	0.7339	4645.32	0.0332	0.0635	1.814	False	ENST00000435987	ENST00000674914
PCDHA10	Oxidative stress resp	0.6308	0.0479	0.5829	13.17	0.1841	0.6906	9.797	True	ENST00000506939	ENST00000562220
GDAP1L1	MT-based movement	0.5078	0.0059	0.5019	85.88	0.2651	0.4368	2.882	True	ENST00000342560	ENST00000537864
YTHDF3	Ca2+ homeostasis	0.8239	0.012	0.8119	68.49	-0.0451	0.0368	0.181	False	ENST00000621957	ENST00000621890
NCL	MT-based movement	0.7274	0.0044	0.723	165.99	0.043	0.1235	7.964	False	ENST00000676690	ENST00000453992
TEDC1	Neuron projection	0.5001	0.002	0.4982	253.79	0.2677	0.3412	0.78	True	ENST00000392527	ENST00000329886
