nm_id	enst_id	gene_name	source
NM_001184903	ENST00000520015	CARD8	biomart
NM_001184904	ENST00000519332	CARD8	biomart
NM_001184917	ENST00000538721	PCYT2	biomart
NM_001184924	ENST00000535214	PNMA5	MANE
NM_001184935	ENST00000541337	NRG2	biomart
NM_001184940	ENST00000651358	FAM219A	MANE
NM_001184941	ENST00000651358	FAM219A	biomart
NM_001184942	ENST00000858746	FAM219A	biomart
NM_001184943	ENST00000297620	FAM219A	biomart
NM_001184945	ENST00000858747	FAM219A	biomart
NM_001184957	ENST00000412910	C3orf20	biomart
NM_001184958	ENST00000435614	C3orf20	biomart
NM_001184965	ENST00000371825	WDR44	biomart
NM_001184966	ENST00000371822	WDR44	biomart
NM_001184967	ENST00000472437	MITF	biomart
NM_001184968	ENST00000394348	MITF	biomart
NM_001184970	ENST00000263246	PACSIN2	MANE
NM_001184971	ENST00000407585	PACSIN2	biomart
NM_001184974	ENST00000298838	PACSIN3	biomart
NM_001184975	ENST00000889892	PACSIN3	biomart
NM_001184976	ENST00000545638	NCKAP1L	biomart
NM_001184977	ENST00000374380	UQCC1	biomart
NM_001184985	ENST00000537687	WNK1	biomart
NM_001184986	ENST00000544855	NDUFC1	biomart
NM_001184987	ENST00000539387	NDUFC1	biomart
NM_001184988	ENST00000394228	NDUFC1	biomart
NM_001184989	ENST00000394223	NDUFC1	MANE
NM_001184990	ENST00000539387	NDUFC1	biomart
NM_001184991	ENST00000539002	NDUFC1	biomart
NM_001184993	ENST00000255324	RNF17	biomart
NM_001184996	ENST00000432459	RNF32	biomart
NM_001184997	ENST00000392743	RNF32	biomart
NM_001184998	ENST00000632628	MARF1	biomart
NM_001184999	ENST00000632465	MARF1	biomart
NM_001185	ENST00000292401	AZGP1	MANE
NM_001185011	ENST00000299821	NCAPH2	biomart
NM_001185015	ENST00000540870	SP110	biomart
NM_001185022	ENST00000672374	CLDN7	biomart
NM_001185023	ENST00000673003	CLDN7	biomart
NM_001185056	ENST00000064724	CLDN11	biomart
NM_001185057	ENST00000568146	NOL3	biomart
NM_001185059	ENST00000375963	TUT7	biomart
NM_001185063	ENST00000370764	ZNF75D	biomart
NM_001185072	ENST00000496677	CLDN12	MANE
NM_001185073	ENST00000394605	CLDN12	biomart
NM_001185074	ENST00000375960	TUT7	biomart
NM_001185075	ENST00000370471	FMR1	biomart
NM_001185076	ENST00000218200	FMR1	biomart
NM_001185080	ENST00000401528	CLDN15	biomart
NM_001185081	ENST00000370471	FMR1	biomart
NM_001185082	ENST00000440235	FMR1	biomart
NM_001185092	ENST00000368008	NIT1	biomart
NM_001185093	ENST00000368007	NIT1	biomart
NM_001185094	ENST00000392190	NIT1	biomart
NM_001185095	ENST00000372309	AIF1L	biomart
NM_001185096	ENST00000372300	AIF1L	biomart
NM_001185097	ENST00000250971	INS	biomart
NM_001185098	ENST00000397262	INS	biomart
NM_001185099	ENST00000536635	CD22	biomart
NM_001185100	ENST00000544992	CD22	biomart
NM_001185101	ENST00000341773	CD22	biomart
NM_001185106			unmapped
NM_001185107	ENST00000368165	CD1E	biomart
NM_001185108	ENST00000368155	CD1E	biomart
NM_001185110	ENST00000368157	CD1E	biomart
NM_001185112	ENST00000452291	CD1E	biomart
NM_001185113	ENST00000368154	CD1E	biomart
NM_001185114	ENST00000444681	CD1E	biomart
NM_001185115	ENST00000368156	CD1E	biomart
NM_001185117	ENST00000539749	CLDN19	biomart
NM_001185118	ENST00000900707	MYNN	biomart
NM_001185119	ENST00000544106	MYNN	biomart
NM_001185127	ENST00000367740	VAMP4	biomart
NM_001185149	ENST00000541814	CLDN24	MANE
NM_001185156	ENST00000391929	IL24	biomart
NM_001185157	ENST00000367093	IL24	biomart
NM_001185158	ENST00000611909	IL24	biomart
NM_001185176	ENST00000543856	CES3	biomart
NM_001185177	ENST00000394037	CES3	biomart
NM_001185181	ENST00000374606	PFDN6	MANE
NM_001185183	ENST00000972675	VAMP7	biomart
NM_001186	ENST00000286800	BACH1	MANE
NM_001188	ENST00000374467	BAK1	MANE
NM_001189	ENST00000382438	NKX3-2	MANE
NM_001190158	ENST00000573178	CES5A	biomart
NM_001190182	ENST00000421127	CCDC17	biomart
NM_001190201	ENST00000540579	CES4A	biomart
NM_001190202	ENST00000535696	CES4A	biomart
NM_001190228	ENST00000445101	RNF224	MANE
NM_001190241	ENST00000496589	IFT80	biomart
NM_001190242	ENST00000483465	IFT80	biomart
NM_001190255	ENST00000951018	ZNF630	biomart
NM_001190259	ENST00000643065	GCSAM	biomart
NM_001190260	ENST00000644247	GCSAM	biomart
NM_001190266	ENST00000625501	ATG16L1	biomart
NM_001190267	ENST00000625501	ATG16L1	biomart
NM_001190274	ENST00000403359	FBXO11	MANE
NM_001190316	ENST00000431721	IP6K2	biomart
NM_001190317	ENST00000446860	IP6K2	biomart
NM_001190326	ENST00000407755	DGCR8	biomart
NM_001190329	ENST00000284727	ATP5MC3	biomart
NM_001190347	ENST00000429837	DMKN	biomart
NM_001190348	ENST00000447113	DMKN	biomart
NM_001190349	ENST00000451297	DMKN	biomart
NM_001190383	ENST00000447283	GNE	biomart
NM_001190384	ENST00000539208	GNE	biomart
NM_001190388	ENST00000543356	GNE	biomart
NM_001190411	ENST00000632616	RPH3AL	biomart
NM_001190412	ENST00000632000	RPH3AL	biomart
NM_001190413	ENST00000632545	RPH3AL	biomart
NM_001190415	ENST00000437822	TAF6	biomart
NM_001190417	ENST00000683375	ZNF674	MANE
NM_001190438	ENST00000395848	NCOR1	biomart
NM_001190440	ENST00000395851	NCOR1	biomart
NM_001190441	ENST00000392051	LGALS16	MANE
NM_001190442	ENST00000338252	CAST	biomart
NM_001190447	ENST00000490467	PPP2R3A	biomart
NM_001190452			unmapped
NM_001190455	ENST00000455693	CHRNA7	biomart
NM_001190456	ENST00000540068	CORO2B	biomart
NM_001190457	ENST00000543950	CORO2B	biomart
NM_001190458	ENST00000469391	DOCK8	biomart
NM_001190460	ENST00000398470	KRTAP9-1	MANE
NM_001190463	ENST00000411986	CTH	biomart
NM_001190467	ENST00000618550	PRR36	MANE
NM_001190468	ENST00000427982	GDNF	biomart
NM_001190469	ENST00000381826	GDNF	biomart
NM_001190470			unmapped
NM_001190472			unmapped
NM_001190476			unmapped
NM_001190478			unmapped
NM_001190479	ENST00000434396	ANKRD63	MANE
NM_001190481	ENST00000373220	CLSPN	biomart
NM_001190482	ENST00000545128	PCSK5	biomart
NM_001190487			unmapped
NM_001190489			unmapped
NM_001190702			unmapped
NM_001190706			unmapped
NM_001190707	ENST00000860444	ALS2CL	biomart
NM_001190708			unmapped
NM_001190709	ENST00000353414	COL11A1	biomart
NM_001190723	ENST00000373324	LRSAM1	biomart
NM_001190726	ENST00000546331	RERG	biomart
NM_001190728	ENST00000373434	RALGPS1	biomart
NM_001190729	ENST00000424082	RALGPS1	biomart
NM_001190730	ENST00000373436	RALGPS1	biomart
NM_001190737	ENST00000380953	NFIB	MANE
NM_001190738	ENST00000380934	NFIB	biomart
NM_001190764	ENST00000444469	TMEM238	MANE
NM_001190765	ENST00000535540	KLRF2	MANE
NM_001190766	ENST00000536551	STMND1	MANE
NM_001190787	ENST00000513312	MCIDAS	MANE
NM_001190789	ENST00000418089	NCF2	biomart
NM_001190790	ENST00000399044	CDRT15L2	MANE
NM_001190791	ENST00000360385	ZNF317	biomart
NM_001190794	ENST00000413720	NCF2	biomart
NM_001190796	ENST00000469404	NCK1	biomart
NM_001190799	ENST00000513090	PLK4	biomart
NM_001190801	ENST00000514379	PLK4	biomart
NM_001190807	ENST00000397914	CYB5A	biomart
NM_001190810	ENST00000452145	AGAP9	MANE
NM_001190818	ENST00000371568	ORC1	biomart
NM_001190819	ENST00000852389	ORC1	biomart
NM_001190826	ENST00000358293	FAM217B	biomart
NM_001190827	ENST00000360816	FAM217B	biomart
NM_001190828	ENST00000367961	FCGR2B	biomart
NM_001190836	ENST00000409240	DCTN1	biomart
NM_001190837	ENST00000394003	DCTN1	biomart
NM_001190839	ENST00000228938	MGP	biomart
NM_001190844	ENST00000341130	TMEM221	MANE
NM_001190847	ENST00000423368	CNOT4	biomart
NM_001190848	ENST00000315544	CNOT4	biomart
NM_001190849	ENST00000451834	CNOT4	biomart
NM_001190850	ENST00000541284	CNOT4	MANE
NM_001190860	ENST00000540972	PLEKHA5	biomart
NM_001190864	ENST00000538315	MRPS35	biomart
NM_001190879	ENST00000535373	ORC4	biomart
NM_001190880	ENST00000372430	HYI	MANE
NM_001190881	ENST00000536575	ORC4	biomart
NM_001190882	ENST00000540442	ORC4	biomart
NM_001190892	ENST00000540134	PDYN	biomart
NM_001190898	ENST00000217305	PDYN	biomart
NM_001190899	ENST00000539905	PDYN	biomart
NM_001190900	ENST00000540134	PDYN	biomart
NM_001190906	ENST00000411726	AKR1D1	biomart
NM_001190907	ENST00000432161	AKR1D1	biomart
NM_001190918	ENST00000584985	THRA	biomart
NM_001190919	ENST00000394121	THRA	biomart
NM_001190942	ENST00000420541	TNFSF10	biomart
NM_001190943	ENST00000466777	TNFSF10	biomart
NM_001190945	ENST00000540010	TRAF1	biomart
NM_001190946	ENST00000514747	FAM193B	MANE
NM_001190947	ENST00000546084	TRAF1	biomart
NM_001190964	ENST00000382874	ZMYM2	biomart
NM_001190965	ENST00000610343	ZMYM2	biomart
NM_001190971	ENST00000632888	PIWIL1	biomart
NM_001190972	ENST00000517562	C8orf88	MANE
NM_001190986	ENST00000433368	CRISP3	biomart
NM_001190995	ENST00000544829	IPO8	biomart
NM_001190996	ENST00000262942	ARPC1A	biomart
NM_001191	ENST00000376055	BCL2L1	biomart
NM_001191002	ENST00000369710	GSTO1	biomart
NM_001191003	ENST00000539281	GSTO1	biomart
NM_001191013	ENST00000450629	GSTO2	biomart
NM_001191014	ENST00000369707	GSTO2	biomart
NM_001191015	ENST00000369707	GSTO2	biomart
NM_001191022	ENST00000401394	CTCF	biomart
NM_001191029	ENST00000425164	PRR29	biomart
NM_001191030	ENST00000579184	PRR29	biomart
NM_001191031	ENST00000577953	PRR29	biomart
NM_001191033	ENST00000407684	GAREM2	biomart
NM_001191035	ENST00000884584	TRIQK	biomart
NM_001191036	ENST00000884587	TRIQK	biomart
NM_001191037	ENST00000373635	PSMD1	biomart
NM_001191049	ENST00000443462	SEC31A	biomart
NM_001191055	ENST00000601417	ERVV-2	MANE
NM_001191056	ENST00000396182	PDE1C	biomart
NM_001191057	ENST00000396191	PDE1C	MANE
NM_001191058	ENST00000396193	PDE1C	biomart
NM_001191059	ENST00000321453	PDE1C	biomart
NM_001191060	ENST00000860089	SLC25A22	biomart
NM_001191061	ENST00000628067	SLC25A22	MANE
NM_001191320	ENST00000636466	GABRB3	biomart
NM_001191321	ENST00000400188	GABRB3	biomart
NM_001191322	ENST00000300177	GREM1	biomart
NM_001191323	ENST00000322805	GREM1	biomart
NM_001192	ENST00000053243	TNFRSF17	MANE
NM_001193267	ENST00000359782	SIRT5	biomart
NM_001193268	ENST00000587152	EML2	biomart
NM_001193269	ENST00000536630	EML2	biomart
NM_001193270	ENST00000398527	MSL3	biomart
NM_001193272	ENST00000367164	RBBP5	biomart
NM_001193273	ENST00000861178	RBBP5	biomart
NM_001193277	ENST00000380779	MID1	biomart
NM_001193278	ENST00000616003	MID1	biomart
NM_001193279	ENST00000687008	MID1	biomart
NM_001193280	ENST00000687008	MID1	biomart
NM_001193281			unmapped
NM_001193282	ENST00000635017	CFAP99	MANE
NM_001193283	ENST00000491763	LEKR1	biomart
NM_001193285	ENST00000305232	SIRT6	biomart
NM_001193286	ENST00000634707	SIRT2	biomart
NM_001193288	ENST00000286344	SLC24A2	biomart
NM_001193289	ENST00000570508	APOBEC3A_B	MANE
NM_001193300	ENST00000872469	SEMA4A	biomart
NM_001193301	ENST00000355014	SEMA4A	biomart
NM_001193302	ENST00000368284	SEMA4A	biomart
NM_001193307	ENST00000620985	SAMD9	biomart
NM_001193308	ENST00000616558	SYTL1	MANE
NM_001193314	ENST00000553888	VIPAS39	biomart
NM_001193315	ENST00000557658	VIPAS39	MANE
NM_001193316	ENST00000448935	VIPAS39	biomart
NM_001193317	ENST00000553888	VIPAS39	biomart
NM_001193318	ENST00000333673	RNF212	biomart
NM_001193321	ENST00000584998	IKBKE	biomart
NM_001193322	ENST00000578328	IKBKE	biomart
NM_001193328	ENST00000366471	ZNF692	biomart
NM_001193329	ENST00000375315	AOPEP	MANE
NM_001193331	ENST00000277198	AOPEP	biomart
NM_001193333	ENST00000570045	CORO1A	biomart
NM_001193334	ENST00000370976	WLS	biomart
NM_001193335	ENST00000710274	ASPN	biomart
NM_001193336	ENST00000402034	SEC14L6	MANE
NM_001193338	ENST00000628511	FCMR	biomart
NM_001193339	ENST00000413164	SLC13A3	biomart
NM_001193340	ENST00000472148	SLC13A3	biomart
NM_001193342	ENST00000290317	SLC13A3	biomart
NM_001193343	ENST00000372116	MRPS18A	biomart
NM_001193347	ENST00000340208	MEF2C	biomart
NM_001193348	ENST00000628656	MEF2C	biomart
NM_001193349	ENST00000626391	MEF2C	biomart
NM_001193350	ENST00000504921	MEF2C	biomart
NM_001193357	ENST00000700474	NUP62	biomart
NM_001193360	ENST00000685843	EXD2	MANE
NM_001193361	ENST00000409018	EXD2	biomart
NM_001193362	ENST00000904163	EXD2	biomart
NM_001193363	ENST00000312994	EXD2	biomart
NM_001193369	ENST00000395343	DIDO1	MANE
NM_001193370	ENST00000395340	DIDO1	biomart
NM_001193374	ENST00000221515	RETN	biomart
NM_001193375	ENST00000709622	NDUFA11	biomart
NM_001193376	ENST00000334602	TERT	biomart
NM_001193380	ENST00000454190	IL17RE	biomart
NM_001193388	ENST00000508903	UNKL	biomart
NM_001193389	ENST00000674376	UNKL	biomart
NM_001193397	ENST00000452489	PTPA	biomart
NM_001193424	ENST00000354919	SUV39H2	MANE
NM_001193425	ENST00000313519	SUV39H2	biomart
NM_001193426	ENST00000378325	SUV39H2	biomart
NM_001193427	ENST00000433779	SUV39H2	biomart
NM_001193431	ENST00000910046	PTPN22	biomart
NM_001193434	ENST00000369312	PLEKHS1	biomart
NM_001193435	ENST00000619563	PLEKHS1	biomart
NM_001193451	ENST00000539277	TMTC1	MANE
NM_001193452	ENST00000586536	NUDT16L1	biomart
NM_001193453	ENST00000355445	TMEM116	biomart
NM_001193460	ENST00000308259	MSRB3	biomart
NM_001193461	ENST00000614640	MSRB3	biomart
NM_001193464	ENST00000605786	DYNC2LI1	biomart
NM_001193465	ENST00000613150	KANSL1	biomart
NM_001193466	ENST00000610328	KANSL1	biomart
NM_001193475	ENST00000449090	PPP1R21	biomart
NM_001193476	ENST00000355574	SLC26A8	biomart
NM_001193478	ENST00000251108	CDADC1	biomart
NM_001193480	ENST00000367847	ALDH8A1	biomart
NM_001193487	ENST00000430487	GTF2A1L	biomart
NM_001193493	ENST00000531327	SLC1A4	biomart
NM_001193495	ENST00000648231	ADAR	biomart
NM_001193502	ENST00000563496	TCF24	MANE
NM_001193508	ENST00000931530	REST	biomart
NM_001193509	ENST00000317907	TTC27	biomart
NM_001193511	ENST00000547488	MAP3K12	MANE
NM_001193513	ENST00000379343	SLC30A6	biomart
NM_001193514	ENST00000435660	SLC30A6	biomart
NM_001193515	ENST00000357055	SLC30A6	biomart
NM_001193520	ENST00000546530	RASAL1	biomart
NM_001193521	ENST00000446861	RASAL1	biomart
NM_001193522	ENST00000379312	RIPOR1	biomart
NM_001193523	ENST00000422602	RIPOR1	biomart
NM_001193524	ENST00000428437	RIPOR1	biomart
NM_001193528	ENST00000409673	SCRN3	biomart
NM_001193529	ENST00000421975	CCT6B	biomart
NM_001193530	ENST00000436961	CCT6B	biomart
NM_001193531	ENST00000552374	TMEM116	MANE
NM_001193532	ENST00000465518	RAB42	MANE
NM_001193533	ENST00000535191	NEK4	biomart
NM_001193534	ENST00000884015	FBXL5	biomart
NM_001193535	ENST00000412094	FBXL5	biomart
NM_001193536	ENST00000453981	DOCK8	biomart
NM_001193537	ENST00000393375	TMEM126B	biomart
NM_001193538	ENST00000393375	TMEM126B	biomart
NM_001193544	ENST00000523714	ANXA6	biomart
NM_001193557	ENST00000521662	ENY2	biomart
NM_001193570	ENST00000905418	CSRP1	biomart
NM_001193571	ENST00000905423	CSRP1	biomart
NM_001193572	ENST00000905426	CSRP1	biomart
NM_001193582	ENST00000413765	NRCAM	biomart
NM_001193583	ENST00000379024	NRCAM	biomart
NM_001193584	ENST00000953268	NRCAM	biomart
NM_001193621	ENST00000599207	PINLYP	MANE
NM_001193622	ENST00000562255	PINLYP	biomart
NM_001193623	ENST00000574814	C19orf84	MANE
NM_001193628	ENST00000598409	SMIM17	MANE
NM_001193630	ENST00000400120	ZNF705B	MANE
NM_001193635	ENST00000710588	DHRS4L2	biomart
NM_001193636	ENST00000710588	DHRS4L2	biomart
NM_001193637	ENST00000534993	DHRS4L2	biomart
NM_001193640	ENST00000367399	CRB1	biomart
NM_001193644	ENST00000368072	PEX19	biomart
NM_001193646	ENST00000423777	ATF5	MANE
NM_001193653	ENST00000437807	CYBC1	biomart
NM_001193654	ENST00000928821	CYBC1	biomart
NM_001193655	ENST00000577732	CYBC1	biomart
NM_001193657	ENST00000577696	CYBC1	biomart
NM_001194937	ENST00000409503	POGZ	biomart
NM_001194938	ENST00000531094	POGZ	biomart
NM_001194946	ENST00000382330	EIF4G1	biomart
NM_001194947	ENST00000352767	EIF4G1	biomart
NM_001194954	ENST00000361059	MATR3	biomart
NM_001194955	ENST00000618441	MATR3	biomart
NM_001194956	ENST00000503811	MATR3	biomart
NM_001194958	ENST00000567955	KCNJ18	MANE
NM_001194990	ENST00000414441	MEPCE	biomart
NM_001194991	ENST00000414441	MEPCE	biomart
NM_001194992	ENST00000497759	MEPCE	biomart
NM_001194995	ENST00000908737	MTRFR	biomart
NM_001194998	ENST00000380950	CEP152	MANE
NM_001195	ENST00000377873	BFSP1	MANE
NM_001195001	ENST00000428026	PTPRU	biomart
NM_001195005	ENST00000534360	CFAP300	biomart
NM_001195010	ENST00000356046	GRHL3	biomart
NM_001195014	ENST00000872058	CD4	biomart
NM_001195015	ENST00000872058	CD4	biomart
NM_001195016	ENST00000872058	CD4	biomart
NM_001195017	ENST00000872058	CD4	biomart
NM_001195032			unmapped
NM_001195037	ENST00000367682	ECT2L	biomart
NM_001195044	ENST00000531439	YAP1	biomart
NM_001195045	ENST00000524575	YAP1	biomart
NM_001195053	ENST00000551116	DDIT3	biomart
NM_001195054	ENST00000551116	DDIT3	biomart
NM_001195055	ENST00000551116	DDIT3	biomart
NM_001195056	ENST00000551116	DDIT3	biomart
NM_001195057	ENST00000346473	DDIT3	biomart
NM_001195059	ENST00000616065	PLEKHO2	biomart
NM_001195071	ENST00000361684	TMEM184B	biomart
NM_001195072	ENST00000633438	TMEM184B	biomart
NM_001195076	ENST00000425202	C19orf81	MANE
NM_001195081	ENST00000445307	CLDN34	MANE
NM_001195087	ENST00000683975	GGACT	MANE
NM_001195098	ENST00000624145	ANKRD28	biomart
NM_001195099	ENST00000624145	ANKRD28	biomart
NM_001195100	ENST00000602683	PTP4A2	biomart
NM_001195101	ENST00000457805	PTP4A2	biomart
NM_001195102	ENST00000546342	GSR	biomart
NM_001195103	ENST00000541648	GSR	biomart
NM_001195104	ENST00000537535	GSR	biomart
NM_001195106	ENST00000613579	TLR10	biomart
NM_001195107	ENST00000622002	TLR10	biomart
NM_001195108	ENST00000613579	TLR10	biomart
NM_001195124	ENST00000567970	C16orf95	MANE
NM_001195125	ENST00000253461	C16orf95	biomart
NM_001195129	ENST00000617714	PRSS56	MANE
NM_001195131			unmapped
NM_001195132	ENST00000498124	CDKN2A	biomart
NM_001195135	ENST00000601382	RNF225	MANE
NM_001195139	ENST00000674443	COG4	biomart
NM_001195141	ENST00000427724	TCOF1	biomart
NM_001195144	ENST00000282272	ANKRD44	MANE
NM_001195150	ENST00000609480	SPMIP1	MANE
NM_001195156	ENST00000373337	TMEM35B	MANE
NM_001195190	ENST00000417563	TEX50	MANE
NM_001195192	ENST00000517484	EFCAB13	biomart
NM_001195193	ENST00000537798	NASP	biomart
NM_001195200	ENST00000378409	CCDC107	biomart
NM_001195201	ENST00000327351	CCDC107	biomart
NM_001195203	ENST00000631698	EEF1D	biomart
NM_001195214	ENST00000374622	YIPF6	biomart
NM_001195215	ENST00000620048	DENND1B	MANE
NM_001195216	ENST00000468589	DENND1B	biomart
NM_001195217	ENST00000378407	CCDC107	biomart
NM_001195220	ENST00000434415	ZNF783	MANE
NM_001195226	ENST00000334029	PRODH	biomart
NM_001195227	ENST00000427978	TRPM4	biomart
NM_001195228	ENST00000250056	PIMREG	biomart
NM_001195234	ENST00000448984	TRIM49C	MANE
NM_001195248	ENST00000379817	APTX	MANE
NM_001195249	ENST00000379817	APTX	biomart
NM_001195250	ENST00000916450	APTX	biomart
NM_001195251	ENST00000379825	APTX	biomart
NM_001195252	ENST00000397172	APTX	biomart
NM_001195254	ENST00000309615	APTX	biomart
NM_001195257	ENST00000437818	DEFB130B	MANE
NM_001195259	ENST00000713907	TGFBR3L	biomart
NM_001195260	ENST00000369347	PDE4DIP	biomart
NM_001195261	ENST00000534536	PDE4DIP	biomart
NM_001195263	ENST00000619208	PDZD7	MANE
NM_001195267	ENST00000587166	SSC5D	biomart
NM_001195272	ENST00000695840	TEX13C	MANE
NM_001195278	ENST00000565468	TMEM178B	MANE
NM_001195280	ENST00000401542	LRRC72	MANE
NM_001195283	ENST00000539311	FLVCR2	biomart
NM_001195286	ENST00000696871	IRF4	biomart
NM_001195290	ENST00000621437	SPINK6	biomart
NM_001195296	ENST00000909330	MIPOL1	biomart
NM_001195297	ENST00000931728	MIPOL1	biomart
NM_001195302	ENST00000539737	USB1	biomart
NM_001195303	ENST00000527988	RGS5	biomart
NM_001195304	ENST00000454061	BBIP1	biomart
NM_001195305	ENST00000448814	BBIP1	MANE
NM_001195306	ENST00000448814	BBIP1	biomart
NM_001195307	ENST00000423273	BBIP1	biomart
NM_001195308	ENST00000462901	CGGBP1	biomart
NM_001195328	ENST00000464506	RAB9A	biomart
NM_001195381	ENST00000430267	GPR35	biomart
NM_001195382	ENST00000430267	GPR35	biomart
NM_001195388	ENST00000361835	FCRL5	biomart
NM_001195396	ENST00000651779	ARL4A	biomart
NM_001195415	ENST00000615680	DCLK1	biomart
NM_001195416	ENST00000379893	DCLK1	biomart
NM_001195422	ENST00000361619	GTPBP3	biomart
NM_001195427	ENST00000359995	SRSF2	MANE
NM_001195430	ENST00000460982	DCLK1	biomart
NM_001195442	ENST00000640551	FAM240A	MANE
NM_001195470	ENST00000920137	SATB1	biomart
NM_001195483	ENST00000393469	SLC12A8	biomart
NM_001195517	ENST00000467928	TLX1	biomart
NM_001195518	ENST00000361114	MICU1	MANE
NM_001195519	ENST00000418483	MICU1	biomart
NM_001195520	ENST00000376608	LRCOL1	MANE
NM_001195522	ENST00000423387	MPC1L	MANE
NM_001195532	ENST00000358161	SPTAN1	biomart
NM_001195535	ENST00000509403	ZNF475	MANE
NM_001195541	ENST00000431679	TMEM225B	MANE
NM_001195542	ENST00000431679	TMEM225B	biomart
NM_001195543	ENST00000431679	TMEM225B	biomart
NM_001195545	ENST00000377924	LRRC3C	MANE
NM_001195553	ENST00000636035	DCX	MANE
NM_001195555	ENST00000523908	CLINT1	biomart
NM_001195556	ENST00000523094	CLINT1	biomart
NM_001195563	ENST00000473578	CAMTA1	biomart
NM_001195571	ENST00000368744	PRR9	MANE
NM_001195573	ENST00000541352	DICER1	biomart
NM_001195576	ENST00000612026	TRPC5OS	biomart
NM_001195577	ENST00000371970	TRPC5OS	biomart
NM_001195578	ENST00000635763	TRPC5OS	MANE
NM_001195581	ENST00000686077	ARL14EPL	MANE
NM_001195597	ENST00000541421	SMLR1	MANE
NM_001195602	ENST00000545675	SEPHS1	biomart
NM_001195604	ENST00000378614	SEPHS1	biomart
NM_001195605	ENST00000568956	ZNF865	MANE
NM_001195608	ENST00000368988	PLEKHA1	biomart
NM_001195610	ENST00000378454	DCDC2	biomart
NM_001195620	ENST00000545825	CFAP119	biomart
NM_001195622	ENST00000379858	TOPORS	biomart
NM_001195626	ENST00000307729	MLLT10	MANE
NM_001195627	ENST00000377091	MLLT10	biomart
NM_001195628	ENST00000377100	MLLT10	biomart
NM_001195630	ENST00000377100	MLLT10	biomart
NM_001195637	ENST00000532798	CCDC179	MANE
NM_001195639	ENST00000348340	C8orf34	biomart
NM_001195643	ENST00000394221	DHFR2	biomart
NM_001195677	ENST00000395802	VAPB	biomart
NM_001195683	ENST00000465892	TGFBR3	biomart
NM_001195684	ENST00000370399	TGFBR3	biomart
NM_001195685	ENST00000409381	LYPD6	biomart
NM_001195728	ENST00000647104	SLC1A2	biomart
NM_001195731	ENST00000535926	CHPF	biomart
NM_001195733	ENST00000539785	PIP5K1C	biomart
NM_001195736	ENST00000616280	PRXL2B	biomart
NM_001195737	ENST00000629512	PRXL2B	biomart
NM_001195738	ENST00000628389	PRXL2B	biomart
NM_001195740	ENST00000617400	PRXL2B	biomart
NM_001195741	ENST00000627654	PRXL2B	biomart
NM_001195752	ENST00000307896	THAP3	biomart
NM_001195753	ENST00000054650	THAP3	MANE
NM_001195755	ENST00000371481	FFAR4	MANE
NM_001195794	ENST00000328863	CLRN1	biomart
NM_001195797	ENST00000518893	LY96	biomart
NM_001195811	ENST00000427495	PLD5	biomart
NM_001195812	ENST00000427495	PLD5	biomart
NM_001195831	ENST00000610710	CFAP57	biomart
NM_001195833	ENST00000591812	RINL	MANE
NM_001196	ENST00000622694	BID	MANE
NM_001197026	ENST00000449726	PLEKHA8	MANE
NM_001197027	ENST00000622102	PLEKHA8	biomart
NM_001197030	ENST00000616482	ANKHD1	biomart
NM_001197051	ENST00000870366	ZFP91	biomart
NM_001197079	ENST00000535603	IFRD1	biomart
NM_001197080	ENST00000621379	IFRD1	biomart
NM_001197100	ENST00000482126	IQCJ	biomart
NM_001197104	ENST00000534358	KMT2A	MANE
NM_001197113	ENST00000485419	IQCJ-SCHIP1	biomart
NM_001197114	ENST00000476809	IQCJ-SCHIP1	biomart
NM_001197115	ENST00000513939	GCLC	biomart
NM_001197122	ENST00000601291	IRF3	biomart
NM_001197123	ENST00000377139	IRF3	biomart
NM_001197124	ENST00000599223	IRF3	biomart
NM_001197125	ENST00000601373	IRF3	biomart
NM_001197126	ENST00000599144	IRF3	biomart
NM_001197127	ENST00000600022	IRF3	biomart
NM_001197128	ENST00000596765	IRF3	biomart
NM_001197129	ENST00000372727	SYS1	biomart
NM_001197131	ENST00000634903	PPP1R12B	biomart
NM_001197139	ENST00000867428	DBNDD2	biomart
NM_001197140	ENST00000372723	DBNDD2	biomart
NM_001197184	ENST00000399285	GPR33	MANE
NM_001197218	ENST00000507116	PDE4D	biomart
NM_001197219	ENST00000405755	PDE4D	biomart
NM_001197220	ENST00000503258	PDE4D	biomart
NM_001197221	ENST00000358923	PDE4D	biomart
NM_001197222	ENST00000358923	PDE4D	biomart
NM_001197223	ENST00000317118	PDE4D	biomart
NM_001197224	ENST00000561796	BEAN1	biomart
NM_001197225			unmapped
NM_001197233	ENST00000709940	BTN2A1	biomart
NM_001197234	ENST00000709938	BTN2A1	biomart
NM_001197237	ENST00000923335	BTN2A2	biomart
NM_001197238	ENST00000469230	BTN2A2	biomart
NM_001197239	ENST00000960906	BTN2A2	biomart
NM_001197240	ENST00000432533	BTN2A2	biomart
NM_001197244	ENST00000411832	BCL7B	biomart
NM_001197246	ENST00000356386	BTN3A2	biomart
NM_001197247	ENST00000377708	BTN3A2	biomart
NM_001197248	ENST00000396934	BTN3A2	biomart
NM_001197249	ENST00000508906	BTN3A2	biomart
NM_001197259	ENST00000546266	ORC3	biomart
NM_001197260	ENST00000409429	DOK1	biomart
NM_001197287	ENST00000556246	OR11H2	MANE
