gene	n_isoforms	n_pos_go	mean_go_corr	fsi	top_consistency	specialization_ratio	has_domain_loss	scenario
ENSG00000047932.14	3	4	0.7500	0.2500	0.7500	0.3017	True	Mixed
ENSG00000011465.18	5	2	0.1579	0.8421	0.5000	0.5553	True	S2
ENSG00000049449.10	4	2	1.0000	0.0000	1.0000	0.0079	True	S1
ENSG00000049541.11	4	5	-0.2000	1.2000	0.6000	0.0157	True	S2
ENSG00000052723.12	4	4	0.5333	0.4667	0.7500	0.4517	False	Mixed
ENSG00000136960.13	4	5	0.0200	0.9800	0.6000	0.1568	False	S2
ENSG00000061273.18	10	5	-0.1750	1.1750	0.6000	0.0833	True	S2
ENSG00000063245.15	7	2	1.0000	0.0000	1.0000	0.0288	False	S1
ENSG00000071655.18	8	2	1.0000	0.0000	1.0000	0.6420	True	S1
ENSG00000071282.12	5	3	0.1667	0.8333	0.6667	0.1948	False	S2
ENSG00000076662.11	5	4	1.0000	0.0000	1.0000	1.6458	False	S1
ENSG00000047188.16	3	5	0.1000	0.9000	0.6000	1.4675	True	S2
ENSG00000050820.17	4	2	1.0000	0.0000	1.0000	0.0001	True	S1
ENSG00000067182.9	3	2	-0.5000	1.5000	0.5000	0.6713	True	S2
ENSG00000071994.11	8	2	0.5952	0.4048	0.5000	3.6251	False	Mixed
ENSG00000075975.17	3	4	-0.3333	1.3333	0.5000	0.2031	False	S2
ENSG00000079308.21	26	2	0.3132	0.6868	1.0000	0.0109	False	Mixed
ENSG00000072210.19	7	3	0.1667	0.8333	0.3333	0.0089	False	S2
ENSG00000137764.20	4	5	0.4667	0.5333	0.8000	0.0166	False	Mixed
ENSG00000065883.18	3	6	1.0000	0.0000	1.0000	1.9111	True	S1
ENSG00000068912.15	5	2	0.6842	0.3158	1.0000	0.9482	False	Mixed
ENSG00000172995.17	4	2	-0.3333	1.3333	0.5000	0.0001	False	S2
ENSG00000075415.15	4	2	1.0000	0.0000	1.0000	0.0019	False	S1
ENSG00000072110.17	5	8	0.9464	0.0536	0.7500	4.1922	True	Mixed
ENSG00000083544.16	3	4	0.7500	0.2500	0.7500	1.1595	False	Mixed
ENSG00000086289.13	3	4	0.7500	0.2500	0.7500	1.5331	False	Mixed
ENSG00000005893.17	4	4	0.8667	0.1333	1.0000	4.6711	False	S1
ENSG00000188559.16	3	3	1.0000	0.0000	1.0000	0.6036	False	S1
ENSG00000089127.15	6	2	1.0000	0.0000	1.0000	2.1881	False	S1
ENSG00000010256.12	6	4	-0.2353	1.2353	0.5000	0.0407	False	S2
ENSG00000090581.11	5	2	0.6000	0.4000	1.0000	0.0350	False	Mixed
ENSG00000090615.16	7	2	1.0000	0.0000	1.0000	0.7884	False	S1
ENSG00000092607.15	6	7	0.2857	0.7143	0.5714	0.4746	False	S2
ENSG00000035403.18	4	6	-0.0222	1.0222	0.6667	0.0027	False	S2
ENSG00000096717.12	4	9	0.5556	0.4444	0.8889	0.0634	False	Mixed
ENSG00000069702.11	8	3	1.0000	0.0000	1.0000	0.1404	False	S1
ENSG00000099326.9	3	10	1.0000	0.0000	1.0000	0.0471	True	S1
ENSG00000099624.8	3	3	1.0000	0.0000	1.0000	0.0003	False	S1
ENSG00000184436.12	8	3	0.5062	0.4938	1.0000	0.1410	False	Mixed
ENSG00000100105.18	7	6	0.4994	0.5006	0.5000	0.0243	True	Mixed
ENSG00000100138.15	4	2	-0.3333	1.3333	0.5000	0.0015	False	S2
ENSG00000100201.23	4	7	-0.1429	1.1429	0.5714	0.0616	True	S2
ENSG00000100211.12	4	3	0.8667	0.1333	1.0000	1.5144	False	S1
ENSG00000100281.14	5	2	-0.6842	1.6842	0.5000	0.0073	True	S2
ENSG00000100299.18	4	2	-1.0000	2.0000	0.5000	0.0329	False	S2
ENSG00000100316.16	4	3	1.0000	0.0000	1.0000	0.0125	False	S1
ENSG00000090060.19	4	4	-0.0333	1.0333	0.5000	0.7631	False	S2
ENSG00000075413.19	17	5	0.3781	0.6219	0.6000	6.2273	True	Mixed
ENSG00000100836.11	3	3	-0.3333	1.3333	0.6667	0.0017	True	S2
ENSG00000100883.13	4	4	-0.2222	1.2222	0.5000	0.0627	False	S2
ENSG00000100906.12	3	4	-0.2500	1.2500	0.5000	0.0334	True	S2
ENSG00000020256.20	3	3	0.0000	1.0000	0.6667	0.0654	True	S2
ENSG00000185019.17	8	4	-0.3333	1.3333	0.5000	0.0028	False	S2
ENSG00000101266.19	5	6	-0.0667	1.0667	0.5000	0.0040	False	S2
ENSG00000101608.13	5	2	0.6667	0.3333	1.0000	0.0028	False	Mixed
ENSG00000101892.12	3	2	0.5000	0.5000	0.5000	1.2559	False	Mixed
ENSG00000101972.20	6	2	-1.0000	2.0000	0.5000	0.7558	False	S2
ENSG00000102081.16	6	11	0.0374	0.9626	0.4545	0.1262	False	S2
ENSG00000102393.15	5	5	0.2000	0.8000	0.8000	0.3434	False	S2
ENSG00000102606.20	5	3	-0.3333	1.3333	0.3333	0.0330	False	S2
ENSG00000006194.11	11	8	0.3706	0.6294	0.7500	0.0667	True	Mixed
ENSG00000177200.18	8	3	0.6667	0.3333	1.0000	3.4566	True	Mixed
ENSG00000103064.15	6	2	1.0000	0.0000	1.0000	0.5365	False	S1
ENSG00000103194.16	3	4	0.7500	0.2500	0.7500	0.1276	True	Mixed
ENSG00000103197.20	5	4	0.1667	0.8333	0.7500	0.0063	False	S2
ENSG00000103495.15	3	4	-0.3333	1.3333	0.5000	0.0172	False	S2
ENSG00000103507.14	8	5	0.8667	0.1333	0.6000	0.0348	False	Mixed
ENSG00000174197.19	6	5	0.2000	0.8000	0.8000	0.8794	True	S2
ENSG00000104064.18	3	2	1.0000	0.0000	1.0000	0.0332	True	S1
ENSG00000104164.12	3	5	0.7000	0.3000	0.6000	0.3736	False	Mixed
ENSG00000012232.10	7	2	1.0000	0.0000	1.0000	0.0872	False	S1
ENSG00000104231.11	5	2	0.5789	0.4211	0.5000	0.4628	True	Mixed
ENSG00000167384.11	4	3	-0.3333	1.3333	0.6667	0.0022	False	S2
ENSG00000104852.15	10	4	0.9931	0.0069	0.7500	1.0606	True	Mixed
ENSG00000104964.15	5	3	0.7778	0.2222	0.6667	0.9280	False	Mixed
ENSG00000105401.10	4	2	1.0000	0.0000	1.0000	0.0012	False	S1
ENSG00000105643.11	5	2	0.8947	0.1053	1.0000	1.5829	False	S1
ENSG00000105647.20	5	2	1.0000	0.0000	1.0000	0.1873	False	S1
ENSG00000105698.16	6	10	0.7667	0.2333	1.0000	0.0300	True	S1
ENSG00000091136.15	9	6	0.2734	0.7266	0.3333	0.8405	True	S2
ENSG00000078967.13	5	2	1.0000	0.0000	1.0000	6.8059	False	S1
ENSG00000105835.13	7	3	0.5394	0.4606	0.6667	0.6653	False	Mixed
ENSG00000105866.15	3	5	1.0000	0.0000	1.0000	2.3202	True	S1
ENSG00000105968.19	3	3	-0.3333	1.3333	0.6667	1.0733	True	S2
ENSG00000106305.10	3	3	0.1667	0.8333	0.6667	0.2679	False	S2
ENSG00000106635.8	5	2	0.9000	0.1000	1.0000	0.5222	False	S1
ENSG00000026025.16	4	5	-0.1556	1.1556	0.6000	0.0043	False	S2
ENSG00000107771.17	3	2	-1.0000	2.0000	0.5000	0.2304	False	S2
ENSG00000107796.14	3	2	1.0000	0.0000	1.0000	0.0013	False	S1
ENSG00000107959.17	6	3	0.0196	0.9804	0.3333	0.1031	False	S2
ENSG00000107960.12	7	2	-1.0000	2.0000	0.5000	0.1551	False	S2
ENSG00000083454.23	3	4	0.2500	0.7500	0.5000	0.0042	False	S2
ENSG00000108262.16	4	4	1.0000	0.0000	1.0000	0.0008	True	S1
ENSG00000108342.13	5	4	0.9000	0.1000	0.7500	3.4802	False	Mixed
ENSG00000108528.14	3	3	1.0000	0.0000	1.0000	0.0208	True	S1
ENSG00000108551.5	3	3	1.0000	0.0000	1.0000	0.3348	True	S1
ENSG00000108591.10	4	4	0.0000	1.0000	0.7500	0.0258	False	S2
ENSG00000108654.16	16	8	0.2565	0.7435	0.3750	0.4112	True	S2
ENSG00000108773.11	4	5	0.2000	0.8000	0.8000	0.0298	False	S2
ENSG00000108961.14	3	4	-0.2500	1.2500	0.5000	0.5966	False	S2
ENSG00000077684.16	6	2	0.6129	0.3871	1.0000	0.0396	False	Mixed
ENSG00000109320.14	7	13	0.6030	0.3970	0.6154	1.6538	True	Mixed
ENSG00000109466.14	3	4	-0.3333	1.3333	0.5000	0.0212	False	S2
ENSG00000109861.17	5	2	0.6667	0.3333	0.5000	0.0137	True	Mixed
ENSG00000109971.14	3	9	-0.0694	1.0694	0.5556	0.0130	False	S2
ENSG00000168066.22	21	7	0.0127	0.9873	0.2857	0.0140	True	S2
ENSG00000110324.12	3	2	-1.0000	2.0000	0.5000	0.0042	False	S2
ENSG00000110330.10	4	7	-0.1429	1.1429	0.5714	0.0003	False	S2
ENSG00000060138.13	5	6	0.6733	0.3267	0.5000	0.1430	True	Mixed
ENSG00000075856.12	4	5	1.0000	0.0000	1.0000	0.0019	True	S1
ENSG00000089157.16	8	3	0.0769	0.9231	0.6667	0.7043	False	S2
ENSG00000110841.14	10	2	0.4118	0.5882	0.5000	0.0846	False	Mixed
ENSG00000111596.14	3	2	1.0000	0.0000	1.0000	0.0475	False	S1
ENSG00000111640.15	3	3	-0.3333	1.3333	0.6667	0.3367	False	S2
ENSG00000111667.14	6	3	0.6667	0.3333	0.6667	5.3728	False	Mixed
ENSG00000111669.15	3	3	-0.3333	1.3333	0.6667	0.0567	False	S2
ENSG00000111790.14	4	2	1.0000	0.0000	1.0000	2.2216	False	S1
ENSG00000112186.13	3	3	-0.3333	1.3333	0.3333	0.0048	False	S2
ENSG00000112335.15	3	2	1.0000	0.0000	1.0000	1.9628	False	S1
ENSG00000112365.6	3	3	-0.3333	1.3333	0.6667	0.0015	False	S2
ENSG00000112769.20	3	3	-0.3333	1.3333	0.6667	0.0029	False	S2
ENSG00000112855.17	3	3	1.0000	0.0000	1.0000	0.0186	False	S1
ENSG00000112964.14	3	5	-0.2000	1.2000	0.6000	0.0035	False	S2
ENSG00000113312.12	5	2	1.0000	0.0000	1.0000	0.0762	True	S1
ENSG00000076242.18	4	5	-0.0400	1.0400	0.4000	0.0351	True	S2
ENSG00000113851.16	7	2	0.2727	0.7273	0.5000	4.8029	False	S2
ENSG00000114388.14	4	2	-1.0000	2.0000	0.5000	0.0851	False	S2
ENSG00000114491.14	6	2	1.0000	0.0000	1.0000	1.4373	False	S1
ENSG00000114853.15	4	2	1.0000	0.0000	1.0000	0.0019	True	S1
ENSG00000071626.17	8	3	-0.2083	1.2083	0.6667	1.5091	True	S2
ENSG00000079785.16	9	7	0.3845	0.6155	0.5714	0.0915	True	Mixed
ENSG00000014641.21	5	3	0.5000	0.5000	0.6667	0.7938	False	Mixed
ENSG00000115361.8	3	2	-1.0000	2.0000	0.5000	0.0058	True	S2
ENSG00000115758.14	5	3	1.0000	0.0000	1.0000	0.0317	False	S1
ENSG00000116062.19	3	8	0.4107	0.5893	0.7500	1.1908	True	Mixed
ENSG00000074800.16	5	8	-0.0580	1.0580	0.5000	0.0042	False	S2
ENSG00000116514.17	4	4	1.0000	0.0000	1.0000	0.0293	False	S1
ENSG00000116731.23	10	8	0.5918	0.4082	0.6250	2.9157	True	Mixed
ENSG00000117984.15	5	2	-0.6842	1.6842	0.5000	0.0001	False	S2
ENSG00000118200.16	4	3	0.5556	0.4444	0.6667	0.0041	False	Mixed
ENSG00000138363.15	3	2	-0.5000	1.5000	0.5000	0.2151	False	S2
ENSG00000118246.14	3	2	1.0000	0.0000	1.0000	0.9916	False	S1
ENSG00000118515.12	4	5	0.2400	0.7600	0.6000	0.0482	False	S2
ENSG00000118785.15	3	3	-0.3333	1.3333	0.6667	0.3030	False	S2
ENSG00000107372.13	5	3	1.0000	0.0000	1.0000	0.9084	False	S1
ENSG00000119638.14	4	6	0.8533	0.1467	0.8333	2.9768	True	S1
ENSG00000119699.8	4	4	0.0000	1.0000	0.7500	0.0627	False	S2
ENSG00000119812.20	6	2	1.0000	0.0000	1.0000	1.2704	False	S1
ENSG00000119950.21	4	6	0.7733	0.2267	0.8333	1.0392	False	S1
ENSG00000116132.12	3	7	0.2857	0.7143	0.7143	0.0271	False	S2
ENSG00000120832.11	8	3	1.0000	0.0000	1.0000	0.0873	False	S1
ENSG00000120837.8	3	10	1.0000	0.0000	1.0000	0.0005	False	S1
ENSG00000120896.14	3	2	1.0000	0.0000	1.0000	0.0480	True	S1
ENSG00000120910.15	5	3	-0.3333	1.3333	0.6667	0.0020	True	S2
ENSG00000120948.19	3	8	-0.1429	1.1429	0.5000	0.0044	False	S2
ENSG00000108848.16	4	3	0.5556	0.4444	0.6667	1.6702	False	Mixed
ENSG00000121413.13	6	3	1.0000	0.0000	1.0000	0.6582	False	S1
ENSG00000121417.14	6	2	-1.0000	2.0000	0.5000	0.0480	True	S2
ENSG00000114354.15	11	2	-0.0553	1.0553	0.5000	0.0542	True	S2
ENSG00000121653.11	5	2	1.0000	0.0000	1.0000	0.0022	False	S1
ENSG00000087085.16	4	4	0.0000	1.0000	0.7500	0.0040	False	S2
ENSG00000122008.16	4	2	-1.0000	2.0000	0.5000	0.1311	False	S2
ENSG00000122085.17	4	2	1.0000	0.0000	1.0000	0.5850	False	S1
ENSG00000122218.17	6	3	0.8710	0.1290	0.6667	0.6697	True	Mixed
ENSG00000122641.11	3	6	1.0000	0.0000	1.0000	4.0582	False	S1
ENSG00000123146.20	3	4	-0.3333	1.3333	0.5000	0.0138	False	S2
ENSG00000198342.10	3	2	1.0000	0.0000	1.0000	0.0016	True	S1
ENSG00000114796.16	3	2	1.0000	0.0000	1.0000	5.4999	True	S1
ENSG00000123607.16	6	2	1.0000	0.0000	1.0000	0.0062	False	S1
ENSG00000123739.11	3	2	-1.0000	2.0000	0.5000	1.6544	False	S2
ENSG00000170954.12	4	3	0.5556	0.4444	1.0000	0.1011	True	Mixed
ENSG00000185404.17	3	2	1.0000	0.0000	1.0000	0.0248	False	S1
ENSG00000124226.11	5	2	1.0000	0.0000	1.0000	0.0513	False	S1
ENSG00000124380.11	3	2	-1.0000	2.0000	0.5000	0.7407	False	S2
ENSG00000124383.11	5	2	0.6842	0.3158	1.0000	2.3960	False	Mixed
ENSG00000124762.15	6	4	0.6000	0.4000	0.7500	0.2753	False	Mixed
ENSG00000124788.19	7	4	0.9130	0.0870	1.0000	0.7072	False	S1
ENSG00000125124.14	7	2	0.5652	0.4348	0.5000	0.0355	False	Mixed
ENSG00000197375.14	6	3	0.0538	0.9462	0.6667	0.0046	True	S2
ENSG00000125457.15	6	3	0.8095	0.1905	1.0000	0.0589	True	S1
ENSG00000125656.12	3	2	1.0000	0.0000	1.0000	0.0112	False	S1
ENSG00000125676.20	4	2	1.0000	0.0000	1.0000	1.5743	False	S1
ENSG00000101224.18	4	2	1.0000	0.0000	1.0000	0.4507	True	S1
ENSG00000125844.17	7	3	0.7037	0.2963	1.0000	0.0365	False	S1
ENSG00000125868.16	3	3	0.6667	0.3333	0.6667	1.4079	False	Mixed
ENSG00000125967.17	4	2	-1.0000	2.0000	0.5000	1.2136	True	S2
ENSG00000125970.12	11	4	1.0000	0.0000	1.0000	0.0069	False	S1
ENSG00000213465.8	3	3	1.0000	0.0000	1.0000	0.2723	False	S1
ENSG00000126524.12	5	3	-0.3333	1.3333	0.3333	0.0408	True	S2
ENSG00000108788.12	3	12	0.4848	0.5152	0.5833	0.0376	False	Mixed
ENSG00000126653.18	4	3	0.8667	0.1333	1.0000	0.0621	False	S1
ENSG00000126822.18	6	3	-0.3333	1.3333	0.6667	0.0043	True	S2
ENSG00000126878.13	3	3	1.0000	0.0000	1.0000	0.0970	False	S1
ENSG00000054148.18	3	3	-0.3333	1.3333	0.6667	0.0087	False	S2
ENSG00000127511.10	3	3	-0.3333	1.3333	0.3333	0.7312	False	S2
ENSG00000127527.15	10	4	0.8750	0.1250	0.7500	3.2057	True	Mixed
ENSG00000127824.15	4	4	0.0000	1.0000	0.5000	0.0098	True	S2
ENSG00000106211.11	3	6	1.0000	0.0000	1.0000	0.0597	False	S1
ENSG00000127951.8	3	2	1.0000	0.0000	1.0000	0.3450	False	S1
ENSG00000127980.16	4	4	0.0000	1.0000	0.7500	0.5570	True	S2
ENSG00000128335.14	5	3	1.0000	0.0000	1.0000	2.9422	False	S1
ENSG00000128595.17	4	2	0.8000	0.2000	1.0000	0.0016	True	S1
ENSG00000137776.17	4	3	0.0667	0.9333	0.6667	1.4395	True	S2
ENSG00000128989.11	6	2	0.4857	0.5143	1.0000	0.4131	False	Mixed
ENSG00000129071.10	4	3	-0.3333	1.3333	0.3333	0.9655	False	S2
ENSG00000129675.16	4	3	1.0000	0.0000	1.0000	2.2230	True	S1
ENSG00000099875.16	4	6	0.8667	0.1333	0.5000	7.6183	False	Mixed
ENSG00000105429.13	10	2	-1.0000	2.0000	0.5000	0.1025	True	S2
ENSG00000152061.24	4	3	0.4667	0.5333	0.6667	0.2163	True	Mixed
ENSG00000132879.14	5	3	-0.3333	1.3333	0.6667	0.1604	False	S2
ENSG00000072756.18	7	4	0.5185	0.4815	0.5000	0.0457	False	Mixed
ENSG00000008853.18	7	5	-0.2000	1.2000	0.4000	0.0034	True	S2
ENSG00000132155.14	6	8	0.1218	0.8782	0.5000	0.0439	True	S2
ENSG00000042429.12	3	4	0.0000	1.0000	0.7500	0.2446	False	S2
ENSG00000100991.12	4	2	1.0000	0.0000	1.0000	0.0011	False	S1
ENSG00000049540.19	9	2	1.0000	0.0000	1.0000	1.4918	False	S1
ENSG00000099899.16	5	3	1.0000	0.0000	1.0000	0.8648	False	S1
ENSG00000137185.13	3	4	0.2500	0.7500	0.7500	0.2109	True	S2
ENSG00000133884.11	4	3	1.0000	0.0000	1.0000	0.4920	True	S1
ENSG00000130159.15	5	3	0.7193	0.2807	0.6667	1.1825	False	Mixed
ENSG00000130203.10	3	12	0.5076	0.4924	0.8333	0.2652	False	Mixed
ENSG00000169955.8	4	3	0.5556	0.4444	1.0000	0.2502	True	Mixed
ENSG00000130529.16	3	5	0.2000	0.8000	0.8000	0.2765	True	S2
ENSG00000130544.12	4	4	0.0000	1.0000	0.7500	0.0005	False	S2
ENSG00000130695.16	3	2	1.0000	0.0000	1.0000	0.0429	False	S1
ENSG00000130749.10	4	5	-0.2000	1.2000	0.6000	0.0166	True	S2
ENSG00000105364.14	3	3	1.0000	0.0000	1.0000	0.0025	False	S1
ENSG00000130813.18	3	3	1.0000	0.0000	1.0000	0.3516	False	S1
ENSG00000131016.17	3	2	1.0000	0.0000	1.0000	0.0008	False	S1
ENSG00000131051.24	7	3	0.3827	0.6173	0.6667	0.0402	False	Mixed
ENSG00000131069.20	3	3	-0.3333	1.3333	0.6667	0.0155	True	S2
ENSG00000131196.18	9	8	0.2716	0.7284	0.3750	0.0229	True	S2
ENSG00000131269.19	3	5	0.4000	0.6000	0.8000	0.0295	False	Mixed
ENSG00000131374.15	4	3	1.0000	0.0000	1.0000	0.0004	True	S1
ENSG00000131408.15	3	8	0.4107	0.5893	0.6250	0.3990	True	Mixed
ENSG00000059122.17	3	2	-1.0000	2.0000	0.5000	0.0000	False	S2
ENSG00000131730.16	3	2	-0.5000	1.5000	0.5000	0.0240	False	S2
ENSG00000131732.12	5	3	-0.3333	1.3333	0.3333	0.1691	False	S2
ENSG00000131759.18	6	15	-0.0667	1.0667	0.5333	0.0005	True	S2
ENSG00000089280.20	5	7	0.2080	0.7920	0.4286	0.5701	False	S2
ENSG00000131876.18	3	2	1.0000	0.0000	1.0000	0.4855	False	S1
ENSG00000131981.16	4	2	1.0000	0.0000	1.0000	0.3556	False	S1
ENSG00000196757.8	3	2	1.0000	0.0000	1.0000	0.0230	True	S1
ENSG00000132002.10	7	3	-0.3333	1.3333	0.6667	0.0051	False	S2
ENSG00000132254.13	3	7	0.4286	0.5714	0.8571	0.0186	False	Mixed
ENSG00000132313.15	4	2	-1.0000	2.0000	0.5000	0.0239	False	S2
ENSG00000132382.15	6	4	0.8000	0.2000	0.7500	1.6881	False	Mixed
ENSG00000132463.15	4	4	0.0741	0.9259	0.5000	0.0347	True	S2
ENSG00000132561.14	4	3	1.0000	0.0000	1.0000	0.0260	False	S1
ENSG00000132612.17	4	4	0.6000	0.4000	0.7500	0.0570	True	Mixed
ENSG00000132640.15	5	2	1.0000	0.0000	1.0000	0.0364	False	S1
ENSG00000132740.10	5	8	0.5000	0.5000	0.8750	0.1244	True	Mixed
ENSG00000165194.15	3	2	-0.5000	1.5000	0.5000	0.0166	False	S2
ENSG00000133606.11	3	4	0.0000	1.0000	0.5000	0.5390	True	S2
ENSG00000133703.14	8	6	0.8815	0.1185	0.6667	3.0753	True	Mixed
ENSG00000133812.18	6	4	1.0000	0.0000	1.0000	1.4036	True	S1
ENSG00000133816.19	3	3	-0.3333	1.3333	0.6667	0.0673	False	S2
ENSG00000133818.14	3	4	1.0000	0.0000	1.0000	0.3795	False	S1
ENSG00000134014.18	7	2	-0.4340	1.4340	0.5000	0.0273	False	S2
ENSG00000116337.20	4	2	1.0000	0.0000	1.0000	0.0184	False	S1
ENSG00000134243.12	7	2	1.0000	0.0000	1.0000	0.1795	False	S1
ENSG00000134324.12	5	2	-1.0000	2.0000	0.5000	0.0014	False	S2
ENSG00000134644.16	6	2	-0.7714	1.7714	0.5000	1.4639	False	S2
ENSG00000134686.21	5	5	0.0105	0.9895	0.8000	0.0438	False	S2
ENSG00000134744.14	3	4	0.0000	1.0000	0.7500	0.3404	True	S2
ENSG00000134775.16	4	2	0.0000	1.0000	0.5000	0.5680	True	S2
ENSG00000134982.19	10	6	0.8222	0.1778	0.6667	0.4440	True	Mixed
ENSG00000135018.14	4	2	0.7778	0.2222	0.5000	0.0228	True	Mixed
ENSG00000135046.15	4	5	0.9200	0.0800	0.8000	0.7396	True	S1
ENSG00000135111.16	4	9	0.5556	0.4444	0.8889	0.0015	False	Mixed
ENSG00000005483.23	16	3	0.5034	0.4966	0.6667	0.1159	True	Mixed
ENSG00000135318.12	4	5	0.2000	0.8000	0.8000	0.0091	False	S2
ENSG00000135363.12	3	4	1.0000	0.0000	1.0000	1.0382	True	S1
ENSG00000135372.10	3	3	-0.3333	1.3333	0.6667	0.0107	False	S2
ENSG00000135404.12	4	2	1.0000	0.0000	1.0000	0.3715	False	S1
ENSG00000135424.19	7	2	-0.6296	1.6296	0.5000	0.7644	True	S2
ENSG00000135624.17	4	4	0.1000	0.9000	0.5000	0.0282	False	S2
ENSG00000135631.17	3	2	0.5000	0.5000	1.0000	0.1548	True	Mixed
ENSG00000135636.16	4	3	0.6000	0.4000	0.6667	1.3099	False	Mixed
ENSG00000135899.20	6	2	1.0000	0.0000	1.0000	0.3130	False	S1
ENSG00000135902.10	7	2	0.4340	0.5660	0.5000	2.1311	True	Mixed
ENSG00000135930.15	7	3	0.4048	0.5952	0.6667	0.1874	False	Mixed
ENSG00000135945.10	5	4	-0.2500	1.2500	0.5000	0.0306	True	S2
ENSG00000136010.14	3	3	-0.3333	1.3333	0.6667	0.3636	False	S2
ENSG00000136235.17	4	4	0.5667	0.4333	0.5000	1.2665	False	Mixed
ENSG00000136261.16	4	2	-0.3333	1.3333	0.5000	0.0887	True	S2
ENSG00000136270.14	4	2	1.0000	0.0000	1.0000	0.7072	False	S1
ENSG00000136271.11	3	5	1.0000	0.0000	1.0000	2.2191	True	S1
ENSG00000136436.16	4	2	1.0000	0.0000	1.0000	0.0178	False	S1
ENSG00000136450.13	5	4	0.0333	0.9667	0.5000	0.1929	False	S2
ENSG00000136451.9	3	4	0.7500	0.2500	1.0000	0.0994	False	S1
ENSG00000136504.15	10	4	0.3571	0.6429	0.7500	0.8666	False	Mixed
ENSG00000136717.15	7	6	0.1119	0.8881	0.3333	0.0220	False	S2
ENSG00000136813.15	4	2	0.8000	0.2000	1.0000	0.0179	False	S1
ENSG00000136848.19	9	7	0.2143	0.7857	0.5714	0.0086	False	S2
ENSG00000136870.11	3	2	1.0000	0.0000	1.0000	0.1164	True	S1
ENSG00000136986.10	5	5	0.0400	0.9600	0.4000	0.0327	False	S2
ENSG00000137075.18	5	2	0.2500	0.7500	1.0000	0.0553	False	S2
ENSG00000137177.20	7	4	0.7758	0.2242	0.5000	4.2027	True	Mixed
ENSG00000137285.11	3	4	-0.3333	1.3333	0.5000	0.0011	True	S2
ENSG00000137492.9	5	2	0.2500	0.7500	1.0000	0.0444	False	S2
ENSG00000137504.16	5	5	0.4737	0.5263	0.6000	1.6873	True	Mixed
ENSG00000137575.12	4	3	-0.3333	1.3333	0.6667	0.0039	False	S2
ENSG00000036672.16	3	4	-0.2500	1.2500	0.5000	0.0196	False	S2
ENSG00000137804.14	3	3	0.0000	1.0000	0.6667	0.0062	False	S2
ENSG00000137936.18	3	2	-1.0000	2.0000	0.5000	0.4815	True	S2
ENSG00000137942.18	3	2	0.5000	0.5000	0.5000	0.0314	False	Mixed
ENSG00000011523.15	6	3	0.4095	0.5905	0.3333	0.0701	False	Mixed
ENSG00000138095.20	5	6	-0.2000	1.2000	0.5000	0.1050	False	S2
ENSG00000138182.15	3	5	1.0000	0.0000	1.0000	1.6176	True	S1
ENSG00000138376.11	4	6	1.0000	0.0000	1.0000	1.1051	False	S1
ENSG00000138398.17	6	2	-0.8182	1.8182	0.5000	0.5756	True	S2
ENSG00000138435.16	4	2	0.0000	1.0000	0.5000	1.1173	False	S2
ENSG00000138448.13	9	4	0.3134	0.6866	0.7500	0.0655	True	Mixed
ENSG00000171681.13	5	4	0.0000	1.0000	0.7500	0.0001	False	S2
ENSG00000091039.17	6	2	-1.0000	2.0000	0.5000	1.8433	True	S2
ENSG00000118596.12	3	3	-0.3333	1.3333	0.6667	0.0006	False	S2
ENSG00000069431.14	8	5	1.0000	0.0000	1.0000	4.0625	True	S1
ENSG00000059758.8	4	4	0.0000	1.0000	0.7500	0.0002	False	S2
ENSG00000109790.18	3	2	0.5000	0.5000	1.0000	1.2699	False	Mixed
ENSG00000065882.18	5	2	-0.3000	1.3000	0.5000	0.6176	True	S2
ENSG00000009307.17	24	4	0.3752	0.6248	0.2500	0.3108	True	Mixed
ENSG00000100902.11	3	2	-0.5000	1.5000	0.5000	0.0005	False	S2
ENSG00000079134.13	4	2	0.7778	0.2222	1.0000	0.1381	True	S1
ENSG00000101557.15	5	2	1.0000	0.0000	1.0000	0.0072	True	S1
ENSG00000072310.18	4	13	0.7436	0.2564	0.7692	1.1860	False	Mixed
ENSG00000111450.15	4	3	-0.3333	1.3333	0.6667	0.0084	False	S2
ENSG00000061936.10	7	2	1.0000	0.0000	1.0000	1.3912	False	S1
ENSG00000072415.10	4	3	0.4667	0.5333	0.6667	0.0875	True	Mixed
ENSG00000073060.17	7	2	1.0000	0.0000	1.0000	1.5811	False	S1
ENSG00000108671.11	3	2	1.0000	0.0000	1.0000	0.0011	False	S1
ENSG00000086666.20	8	3	0.9792	0.0208	1.0000	0.3634	True	S1
ENSG00000090861.17	3	3	1.0000	0.0000	1.0000	0.0090	False	S1
ENSG00000103043.15	4	3	1.0000	0.0000	1.0000	0.2163	False	S1
ENSG00000113712.19	8	5	0.2800	0.7200	0.6000	0.0216	True	S2
ENSG00000110801.14	4	2	-1.0000	2.0000	0.5000	0.0006	False	S2
ENSG00000069966.19	6	3	-0.3333	1.3333	0.6667	0.0410	False	S2
ENSG00000138600.11	5	2	0.0526	0.9474	1.0000	0.2869	True	S2
ENSG00000104133.16	6	3	-0.3333	1.3333	0.6667	0.0732	False	S2
ENSG00000129315.12	3	6	1.0000	0.0000	1.0000	0.2704	True	S1
ENSG00000119707.14	5	4	-0.0208	1.0208	0.5000	0.9384	True	S2
ENSG00000008294.22	3	2	1.0000	0.0000	1.0000	0.0538	False	S1
